X1	ACTION1	Y1	[FILL] is/is similar to/means	X2	ACTION2	Y2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	flowing		is similar to		pouring		#417		f58b-3497-96ff-eec1	
	to form		means		to create		# add parameters?		daad-f76d-b43d-ce31	
	found in		means		existing in		# Q 515		c02e-466c-fe51-440c	
	to generate		means		to create				1811-c7f9-f6be-4bde	
	generate		means		produce		# 39		f024-43c1-e400-3c3d	
	get rid of		means		eliminate; remove				b077-71d0-b2cf-4b5c	
	get rid of		means		eliminate			DUP. All uses replaced. 	082e-a216-f6d1-0120	
	grouping		means		putting; placing	in different groups	# Q 206		ba30-2a8a-fe88-bca0	
	harmful		means		negative			Moved to AFFECT.	c9da-db8c-1efd-d2b8	
	having	an impact on something	means		altering	that something	# Q 457		f306-b3dc-08d5-67b6	
	having a positive impact on	health; survival	is synonymous with		helping to keep	healthy	# Q 1569		464d-b3db-e4d7-3547	
	helping		means		to assist	in a change	# 714		f770-6cd8-e42d-7b63	
	identifying		is similar to		determining		# Q 1916		7955-b33e-9357-33b7	
	including		means		containing		#1420		c18e-f16d-3f5a-07a8	
	increase		is similar to		extend		#1217		e7fa-9330-c636-73e3	
	influence		means		impact		# Q 659		f8a6-912e-89fb-2613	
	inspect; observe		means		examine				18ae-ab97-6895-4128	
	jogging		is similar to		running		# Q 1516		a70e-aca1-4ca5-67d9	
	keeping		means		staying				151d-c801-eb15-ebfb	
	keeping	cool	means		not increasing	temperature	# Q 105		2786-3bde-a7de-6181	
	keeping		is similar to		storing		#1411		4ef5-2024-bd2f-74e2	
	knowing	the properties of something	means		knowing	information about that something	# Q 463		418b-50f9-2389-1806	
	leave alone		means		not change		# Q 115		7bad-20c8-07a5-3c70	
	leaving	something undisturbed	means		not changing	that something	# 206		9c4b-a3b8-45a7-49f3	
less			is similar to	decrease			#268		580f-1d81-36b1-adb3	
	live		means		to be alive				5235-918a-6a82-0d1a	
	look at		means		observe				6a75-83b3-d985-4a70	
	looking like		is similar to		camouflaging as		#554		968b-298f-e403-e5a6	
	made of		is similar to		is built from		#432		97b0-e2cc-4f43-104c	
	made up of		means		contains; made of		# Q 89		787c-b7eb-9067-f7f1	
	make		means		produce				80f0-202c-0427-9ddc	
	managing	the number of something	is similar to		replacing	that something	#1218		d202-571c-6a25-b383	
	may happen		means		having	a chance of happening	#858		d424-0e1d-3c4d-2b61	
	measuring		is similar to		collecting	data	#1061	Move to Examples table. 	d0a1-2d66-9db7-09be	
	missing		is similar to	less			#893		f23e-a9fe-6f95-676f	
	moving		is similar to		travelling		#299		8627-a51d-fcbc-8601	
	moving in a circle		means		moving in a circular motion		# Q 109		ecbd-8ae1-ad39-82c9	
	needing	something	means		depending on	that something	# 121		9895-ba65-e45d-613f	
nonliving			means		not living		# 1200, not an action but a state.		5ce7-4fed-f926-472e	
	not allowed to		means		can not		# Q 915		f26a-3bae-a5e0-ed8a	
	not looking		means		not seeing		# 689		7120-da03-7f9e-5466	
	observe		means		see		# Q 994		3d19-51ab-7f0c-7a14	
	planting	crops	is synonymous with		growing	crops			beca-88a5-c80c-50bd	
	playing	a drum	means		banging; hitting	a drum	# Q 220		c1be-dd2a-153b-a1ee	
	poisoning	an environment	means		poisoning	the organisms in that environment	#51		2aa7-4696-710f-dc1b	
	to power		means		to provide energy for				3a7a-4175-a1b7-db73	
	to produce		means		to provide		# Q 924		1201-f310-a3c3-b88d	
	protecting	something	means		preventing harm to	that something			360a-b24c-3306-9b73	
	protecting	something	means		preventing 	the harming of that thing		DUP. All uses replaced. 	054c-7289-71d5-dad2	
	provide		is similar to		give; make				d967-43ba-2f93-e066	
	providing	something	means		making;delivering	something	# Placeholder arguments		69bc-91ee-2371-c804	
	providing	warmth	is synonymous with		keeping	warm	# Q 687		8817-2a2b-242d-47e4	
	pull		is similar to		attract				5b19-9470-28b5-572c	
	pulling away		is similar to		separating		#545		38b9-f9da-56c0-a6bb	
	rattle		is similar to		vibrate		# 1357		8413-0f13-cab4-2c05	
	receive		means		get		# Q 635		9eed-91be-c441-efa3	
	receiving	sunlight 	is synonymous with		absorbing	sunlight	# Q 468		141a-5c36-0fac-52ac	
	to recycle		means		return		# Q 312		40b8-086d-439a-c9ba	
	to reduce		means		to decrease				1a70-2ddd-7f85-17ae	
	remove		means		decrease				6c44-86b0-3f21-da81	
	removing	forests	means		removing	animal habitats	# 1118		aaa1-6683-9d15-9829	
	removing	a forest	means		cutting down	a forest	#770		b7b1-1f23-bd44-0112	
	removing	a forest	means		cutting down	the trees in that forest	#1254		298b-ca93-e80a-a32d	
	to repair		means		to heal				86d3-723e-62b0-6dfa	
	repel		means		move away		# 194		e74b-895a-5181-6133	
	replanting 	a plant	means		replacing	that plant	# Q 1782		71c1-15bd-b699-64ee	
	requiring	something	means		needing	that something	# 361		c53b-8f28-1acf-463a	
	resemble		means		look like		# Q 1127		98ae-3574-d787-9fd8	
	rest		means		sleep				bc41-0b7c-641f-c419	
	returning		is similar to		adding		#1658		79a0-cb9c-0aef-f322	
	returning		is similar to	bringing			#2015		04e9-5287-eb58-61cb	
	revolving 	around something	means		orbiting	that something	# 1335		3dd5-2225-75cc-e350	
	riding in; driving in	a vehicle	means		using	that vehicle	# Q 1722		39b5-164b-997b-e3fe	
	rotate		means		turn		# Q 692		ae29-0f1b-9895-50a5	
	rusting		means		forming	rust	# Q 1514		e9ad-9585-0a08-5148	
	saving	an organism's life	means		preventing	the death of that organism	#1649		90a4-4c46-289e-f3e8	
	scavenging		is synonymous with		looking for	food	# Q 1539		a94e-ad3f-d1d1-e4bf	
	search for		means		seek to find		# 1158		3a4a-a10f-5973-6530	
	seeking	something	means		trying to find; searching for	something	# 362		88e2-d46b-7846-8a0f	
	sensing	a warning	means	receiving	a warning		#187		24f8-b192-2a82-e6d8	
	shaking		is similar to		shifting		# Q 1510		6c79-d646-1afb-b6d3	
	shift		means		move		# Q 928		1a46-dc05-1bd8-5ed7	
	sprouting		means		germinating				665a-2d1b-8608-576a	
	stay	the same	means		not changing		#421		e2f0-90c4-cd00-c5a7	
	staying		means		not changing		# Q 28		0ad2-7d4f-40c4-13c5	
	staying warm		means		keeping warm				3a0f-40e0-b6ef-bea4	
	stop		means		not move		# 512		31e5-9065-c214-1108	
	studying		is similar to		investigating		# Q 1745		fd8e-2947-11d9-e1d9	
	studying		is similar to		observing		# Q 1748		a2ff-b2c1-f462-2fdb	
	studying	a soil sample	means		studying	the microorganisms in that soil	#1842		346c-7060-9ad3-5d93	
	survive		means		live				5e5f-d2d7-bb79-193c	
	survive		means		live				eb58-30d7-0fc1-e38a	
	take	a picture	means		create	a picture			d2cd-1ad7-df53-9b9e	
	take away		means		decreasing		# 437		9816-ffa6-2260-9fc1	
	take in		means		absorb				160e-6da0-3cc4-1b3d	
	take in	oxygen	means		get	oxygen into the blood	# Q 217		65bb-ee0e-f67d-f6d9	
	take place		means		happen		# Q 947		b238-dbf4-7dce-187d	
	taking in	something	means		receiving; absorbing; getting	something	# Placeholder arguments		1015-4572-2293-d185	
	taking in	something	means		acquiring	that something	# Q 1537		336b-8580-1de1-5714	
	tearing		means 		ripping		# Q 118		8756-ec9f-0c1b-21c4	
	thawing		is similar to		melting		#433		3cb0-21ad-9635-ef5c	
	thrust		means		to push	in a given direction	# 879		87f9-f56d-8397-3010	
	to absorb		means		to capture		# Q 1574		cd7c-310b-9fd0-d4d6	
	to add		means		to increase		#533		7ef3-7d2a-dd0a-7953	
	to advance		means		to improve		#1042		6b71-8219-5039-8487	
	to bang		means		to hit		# Q 1754		6e3f-b470-4e29-ec6f	
	to be	in the sun	means		to be	in the sunlight	#1362		8939-25ca-fb9c-d790	
	to be a combination of		means		to be made of		# Q 65 		239a-f2cc-8bbb-223e	
	to be dependent	on something	means		to depend	on that something	#2070		32b9-45a7-7e74-12c2	
	to be destroyed		means		to cease to exist		#1693		d6d1-6f75-0a9e-9570	
	to be fit	for an environment	means		to be able to survive	in that environment	#1625		6639-1b70-5a51-b9a1	
	to be formed by		is		to be the result of		# Q 1138		d22b-a7bb-0814-9332	
	to be found in		means		to be contained in		#571		e57b-18c2-73ff-869b	
	to be good for		means		to have a positive impact on		# Q 905		1927-9e8e-915b-3da1	
	to be in danger		means		to be around; to be near	something dangerous	# Q 938		bbf9-a92e-0ba3-bfd4	
	to be insulated		means		to have insulation		#1837		012f-b681-a0e0-376a	
	to be made of		is similar to	collection			#848		c681-7a3a-3378-eeea	
	to be made of		means		to consist of		#1361		c583-9b78-1eab-ae77	
	to be required		means		to be necessary		#1052		5830-0226-d5ec-1248	
	to be used	for something	means		to be required	by that something	#1053		1b31-08ba-2a30-8dd0	
	to be used 	for something	means		to help to do	that something	#898		679c-fab2-a001-db1e	
	to be used for		is similar to		allowing		#1045		663d-a91d-53d8-5625	
	to belong	to a group	means		to be a kind	of something	#552		643f-7227-2e92-b2b1	
	to belong	to a group	means		to be classified	in that group	#552		c354-c737-b73a-6024	
	to belong	to a class	means		to be	a kind of something	#1687		f5fb-4734-09f4-62e7	
	to bounce back		means		to reflect		##331		041b-a683-c7b9-85b4	
	to break down		means		to break	into smaller pieces	#286		0610-89d4-acb3-b0dc	
	to breathe in		means		to absorb	air	#1465		2047-3ee7-a047-0dd9	
	to bump		means		to hit		#  Q 1561		ad5e-a830-efe5-170e	
	to carry		means		to transport		#345		73ed-c126-9663-1012	
	to carry		means		to move	something	#259		38f7-b1e7-b37e-ef1e	
	to cause		means		to result in		#280		f4d3-fd82-31d1-855c	
	to cause		means		to make		#734		d24e-3153-b652-ccfa	
	to cause	something	means		to contribute to that something happening		#1264		29f7-bead-ba29-6a7f	
	to cause		means		to have	an effect	#1451		7217-ca8f-51fc-7263	
	to cause	the formation of	means		to form		# Q 1735		b7ab-4872-8563-4b31	
	to cause		means		to be responsible for		# Q 1937		eb82-cc9b-b653-15f8	
	to classify		means		to decide	what class something belongs to	#1498		a453-a164-a836-a893	
	to collect		means		to gather		#1806		ad3c-e23e-4687-db8b	
	to conduct		is similar to		to transfer		# Q 53		ac2a-9f55-aeab-2917	
	to contain		means		to have inside				34a2-9d5f-692b-4898	
	to contribute		means		to add		#1685		4bca-7771-01b5-a2f6	
	to cool		means		to reduce	heat energy	#1238	Moved to CHANGE-VEC	d3bf-5f04-7cc1-5f17	
	to create		means		to make		#274		dd64-2412-f733-7659	
	to decline		means		to decrease		# Q 51		53ec-933f-7116-dcaf	
	to depend on; to rely on; to need		means		to require		#163		e9f8-f0c7-07ec-99de	
	to discard		means		to throw away		#709		5f43-c4d3-9043-8b02	
	to discover		means		to find		#1245		ac4f-0a94-0c33-2df4	
	to discover		means		to make	a discovery	#2128		01ce-5c8d-152d-6464	
	to do	a job	means		to perform	a job	#1359		8754-eb6c-1c85-c80a	
	to eat		means		to consume	food	#430		1af8-152d-3dd1-798c	
	to emit		means		to release		#272		d3de-4860-7a6f-d01d	
	to enable		is		to help		# Q 1156		e841-9354-e28c-e157	
	to enhance		means		to increase		# Q 1790		b952-4ad0-732a-7cdd	
	to exhale		means		to release		#1643		db10-d17e-ddad-d545	
	to get a better look at		means		to see better		# Q 136		ae0b-1df7-6167-ecc5	
	to get hot		means		become hot		#1332		a31e-1af6-3adc-a0b4	
	to give off		means		to be the source of		#378		c273-104b-3c47-f637	
	to happen		means		to occur		#1038		24c1-532c-1322-2dc3	
	to have a function		is similar to		to be responsible for		# Q 1160		99fc-c23d-a1f5-19a0	
	to help		means		to aid		#861		9d82-eb5c-44c1-f10d	
	to help; to benefit		means		to be of use		#181		a8e1-376d-a65c-d56c	
	to hover		means		to stay in place	in the air	#742		1eef-7771-64a6-1d93	
	to hurt		means		to harm		#893		7159-d1fa-5784-4a1e	
	to impact		means		to affect		# Q 47		7dc9-24ac-4c93-866e	
	to improve		means		to have	a positive impact	#1255		3022-b0dc-604d-b0d7	
	to inhibit		means		to prevent		#290		83fc-2b11-a88e-56cd	
	to keep	a process or event happening	is similar to		causing	that process or event to happen	#2002		87fc-9f14-db43-7f99	
	to keep something from happening		means		to prevent that something		#1256		2a3e-40ec-e187-c0d2	
	to last longer		means		to be available longer		#2171		7b14-3b1d-7f2e-ae55	
	to lift		means		to move up		# Q 129		a650-d8d9-199a-6170	
	to limit		means		to decrease		#548		0714-a69b-67e1-fc94	
	to lose		means		to have less of		#1886		75e9-85f3-cc73-27cf	
	to lower		means		to decrease		#268		7b3b-3c56-8e8b-ab1c	
	to make		means		to invent		#1042		83be-648d-f63f-3270	
	to make		means		to form		#1348		bed3-1cec-6cf8-d027	
	to make	something easier	means		to help				ff68-4699-0671-f8b7	
	to match		means		to be	the same	#777		cdff-c958-e7f4-227a	
	to observe		means		to gather	information	#324		13d5-3248-93e0-97df	
	to pass		means		to occur		#2120		50d7-9492-5143-d88b	
	to preserve	food	means		to keep	fresh food from spoiling	#1470		59a4-b2fa-5937-4f14	
	to prevent	the occurence of an event	means		to decrease	the occurence of the event	#1649		f557-1bfc-f95b-375d	
	to produce		means		to create		#2076		c23b-f665-cd04-dafd	
	to protect		means		to make safe		#805		578b-10b3-d171-7b7c	
	to protect		means		to defend		#1357		142e-2fac-bb31-2e5d	
	to provide	something	means		to be	the source of that something	#507		acf6-d100-2553-e4ac	
	to put on		means		to wear		# Q 1184		5a57-e1e0-4c65-262d	
	to receive	sunlight	means		to absorb	sunlight	#1225		5e35-243f-81ab-5eef	
	to remain		means		to not change		# Q 1576		e931-7db5-7b7d-6c1a	
	to remain		means		to stay the same		#1855		bd6d-bd54-cd46-7e74	
	to reproduce		means		to have; to produce	offspring	#427		5c25-2129-40a6-71ea	
	to restore		means		to return	to a better state	#381		8726-c09d-4a3b-e814	
	to roam		means		to move	to various locations	#1432		3347-b1a5-6757-f53d	
	to rotate		means		to complete	a rotation			3681-33ce-b63b-2749	
	to round		means		to make more round		# Q 1585		3497-0826-74ec-c9cf	
	to rub; to rub together		means		to move against		#476		c4a5-564d-59d0-1074	
	to run on		means		to use	as an energy source	#760		b320-8125-95c4-8c27	
	to scrape		means		to scratch		#1811		a5d3-7ecf-1243-bfaf	
	to see		means		to look		#1066		faab-3e71-cd3d-575c	
	to send		means		to transfer		#2106		56bc-389e-d138-7308	
	to serve as		means		to be used as		# Q 914		9ed4-1adc-4024-73b1	
	to shine		means		to emit	light	#137		959c-173d-683c-65a7	
	to ship		means		to transport		#854		ea8e-80e0-fecc-1b9f	
	to shorten		means		to make shorter		#1447		d082-bdb2-b20a-30de	
	to show		means		to present		#1077		0f65-4fa3-49b1-0794	
	to show		means		to display		#1428		2597-f6ee-6a92-2ec6	
	to slow; to slow down		means		to decrease	in speed	#256	Moved to Change-Vec	2b25-38c6-eff6-e6bc	
	to store		means		to hold		#1014		0f02-bd0a-c36c-0bbc	
	to tell the difference	between things	means		to classify	those things	#598		4448-2467-9571-5878	
	to touch		means	to contact			#562		2a06-2a73-ddc5-b6c8	
	to transfer		means		to bring; to get something to		#2196		e6e9-5116-7ff3-0590	
	to transform		means		to convert		#1291		539c-ccfe-688f-27f6	
	to turn		means		to convert		#1379		520b-e7fa-600c-d598	
	to turn		means		to change		#1395		dfa9-fbe6-0fdf-502c	
	to vary		means		to differ		#580		567f-1878-8555-aa7d	
	to view		means		to see		#2056		3436-66c9-9e0a-3a8b	
	to watch		means		to look at		#1495		56be-ce78-ec19-1c61	
	to work		means		to function				ab06-c1d9-7d2f-2f01	
	touching	something	means		feeling	that something	# 132		6722-33ad-ff6e-30b3	
	towards		means		closer	to something	# 634. prepositions. 		d455-45e9-2aa5-da1b	
	transferring		is similar to		giving		#813		b730-7885-2f2d-d737	
	transferring		is similar to		adding		#1243		d56e-bff7-b1f5-a8f4	
	transferring		is similar to		supplying		#1608		0a6f-6cda-f364-a708	
	transport		means		to move; to make travel				48be-b112-3323-84b6	
	travel		means		to move		# 706		f5f4-d4dd-cf26-09d5	
	turning		is similar to		changing		#723	DUP. All uses replaced	3f89-cd54-3ef0-2430	
	using	less of a resource	means		conserving	that resource	#1227		9130-a03b-85d4-9a10	
	viewing		means		observing	light			54bb-adb6-1968-eac6	
	warm up		means		increase	temperature			f0a6-ff41-4499-55a5	
	washing out		means		being moved from 	by water 	# Q 688		0902-751a-e13d-ac41	
	to change		means		to have	an effect			e6a3-b433-9d25-fd98	
damage			means	harm					e36b-5464-c253-5b04	
a baby			means	the offspring of a parent					75d4-1f81-cb21-f793	
a property			is similar to	a factor					cbec-3f65-5c06-d9cf	
a part of a process			means	a stage in a process					a2f5-52da-5487-7e66	
a step in a process			means	a stage in a process					e5d4-2c6c-1ee0-4b0b	
a cause of something			is	a reason for that something			# Q 2214		ac5e-7fdf-8cec-126d	
	locating		means		determining		# Q 2222		e55f-94d4-07d2-8c51	
liquid; solid			means	nongaseous			# Q 2225		b0a7-77f2-4132-52c0	
	investigating	a stage of something	means		investigating	that something	# Q 2215		50a9-e4d7-21ed-8c2e	
	taking in and releasing		means		exchanging		# Q 2235		b134-bede-e140-fbb7	
table salt			means	sodium chloride			# Q 2237		8c06-332a-4c9d-9974	
	to disappear behind		means		to move behind		# Q 2239		e3ef-dc1e-a5d7-b85a	
	pumping	water	means		removing	water			be8c-0d0d-d929-2765	
a disadvantage			is 	a negative impact			# Q 2247		4b19-6562-88d8-292b	
	push out		means		expel		# Q 2232		48a9-a625-e045-fccb	
	continuation	of a species	means		survival	of that species	# Q 2258		523e-3109-b9cc-44e5	
	rolling down		is similar to		falling		# Q 2261		0478-b243-e592-8add	
level			is similar to	amount; quantity			# Q 2273		1419-9017-3c9a-6892	
medium			is similar to	average			# Q 2278		5949-50af-19b8-4ea2	
typically			means	usually			# Q 2282		07a9-f0d1-4283-15f0	
a kind of something			is		classified as	that something	# Q 2281		40fe-6d70-26c7-3493	
the parent cell			is	the original cell			# Q 2298		40a4-4ed8-84b0-66b3	
	to produce		means		to result in		# Q 2298		cccb-d2de-889d-082b	
	to detect		means		to find		# Q 2401		4820-f6e1-cd6e-795d	
	to move toward		means		to move nearer		# Q 2401		1788-779b-f5dd-b9b3	
	to land on	the ground	means		to hit	the ground	# Q 2404		cb41-ca46-d7b0-e25b	
	to distinguish		means		to tell the difference between		# Q 2413		f7dc-b6c2-593e-b623	
	to look like		means		to have the visual properties of		# Q 2414		d434-9a47-411a-4a72	
food			is	what an animal eats			# Q 2415		b684-6073-28ff-9425	
	to change		means		to become	different	#2306		c205-b39d-867c-d6e0	
	to regulate		means		to maintain	the speed of a process	#2306		8534-1642-cb77-64f8	
	to be involved	in something	means		to have a role	in something	#2307		5259-86ec-c32c-8767	
land area			means	land mass			#2312		f5fa-0c38-b157-f042	
	to transfer		is similar to		transport		#2318		2195-1c32-9287-b22e	
	to be made of	something	means		to be formed of	that something	#2319		002c-82e0-899f-f9b3	
	to be released		is similar to		escape		#2323		0297-8abc-cdcb-f36f	
	to be filled with		means		to contain		#2323		1ed5-5adc-34d4-914d	
a celestial body	travelling around	another celestial body	means	that celestial body	completes a cycle	around that other celestial body	#2325		958c-a3ce-61bc-8da1	
	to decompose		means		to decay		#2328		1289-ce2d-0805-1e98	
	to be lowered	into a substance	means		to be placed	into that substance	#2329		7030-f9d4-fe43-b182	
	to cause	an event	is similar to		being involved	in that event	#2330		55ff-93d9-0729-dfdc	
gamete			means	sex cell			# Q 2436		b967-c0d7-082a-b2c0	
development			is similar to	production			# Q 2436		a51a-773e-8610-1952	
	to be affected	by something	is similar to		depending on	something	#2333		66b0-f6c0-bcac-dbdd	
	made of		is similar to		contains		# Q 2443		827c-ce58-e239-8411	
a cavern			is	a cave			# Q 2448		b2ef-8a6d-826d-aad7	
underground			means	under ground			# Q 2448		4069-e97b-710d-a94f	
region			means	place			#2351		29e9-f4c3-2c2d-bc63	
	to contribute		is similar to		produce		#2354		c1c4-7f5d-c29b-76c6	
the chemistry of something			is similar to	what that something is made of			#2364		b857-4526-35aa-007c	
	left in	the sun	means		exposed to	the sun	# Q 2462		2655-9071-3456-3a2c	
	to conserve		means		to not change		# Q 2469		143e-9cd6-64d6-2c2c	
	revolve once		means		to complete a revolution		# Q 2475		12bd-8d59-15c1-b412	
a measure of time			is	a length of time			# Q 2475		99be-2eb4-339a-e865	
	photosynthesizing		means		performing	photosynthesis	# Q 2477		cefb-90ef-b740-0cfb	
	to undergo		is similar to		to pass through		# Q 2491		d429-0db4-7c9e-0b2e	
unchanged			means	not changed			# Q 2491		65fb-d9e1-336f-437e	
physical fitness			is similar to	athletic ability			# Q 2492		1b52-10cf-d007-3504	
m/s			means	meters per second			# Q 2506		2596-5b2d-29ed-5dac	
nucleus			is synonymous with	core; center			# Q 2508		ca15-84ee-1d71-670e	
a body cell			means	a somatic cell			# Q 2512		e699-3aa0-0cda-d7c8	
	to try		means		to make	an effort	# Q 2514		9dae-f95b-acc1-8815	
	to conclude		means		to make a conclusion		# Q 2520		b504-dab4-555a-60c3	
	separating		is similar to		breaking		# Q 2521		908d-107b-7c2c-6a16	
	decomposing		is similar to		separating		# Q 2521		dbc8-ff8d-a632-45b1	
worldwide temperature			means	atmospheric temperature			# Q 2522		cc2e-8a8b-7b54-a999	
a coast			is	a coastal area			# Q 2522		03ab-a8e4-e46d-24a6	
marine			is similar to	water			# Q 2524		3460-4537-6ea0-dbcc	
mountain area			means	mountain range			# Q 2524		2e2b-8ec1-b134-3e70	
no longer			means	used to be			# Q 2524		63a7-ea04-bdff-6d2c	
	eliminate		means		remove		# Q 2528		3d7f-11b1-07b1-be51	
contaminated			means	polluted			# Q 2533		cc22-d739-2aaf-0d63	
	avoiding		is similar to		preventing		# Q 2701		b7ac-ab66-972f-3a6d	
chance			means	likelihood			# Q 2708		700e-ed5f-6512-d90d	
trial			is synonymous with	test			# Q 2708		40f4-2c50-06f2-8006	
experiment			is synonymous with	test			# Q 2708		bcaf-c7af-19d2-3358	
	to repeat	an experiment	means		to perform	multiple trials of the same experiment	# Q 2708		8c64-32a4-76f9-2fd9	
	to improve	the chances	means		to increase	the likelihood	# Q 2708		245c-af44-a0e8-4310	
appear			is similar to	apparent			# Q 2710		06c3-a0a5-1428-9867	
Fe			is	the chemical symbol for iron			# Q 2711	SW 37eb-3810-3df1-3a81	b9a8-9112-1c04-6994	
O			is	the chemical symbol for oxygen			# Q 2711	SW e240-092a-51ef-56d2	2e9a-c7bc-42e2-19ec	
cheap			is similar to	inexpensive			# Q 2717		0911-8111-9140-c6eb	
variation			means	variety			# Q 2719		00ba-0ac4-594d-35aa	
crustal plate			means	tectonic plate			# Q 2728		ea4f-510c-5ad1-1a76	
	to change into		means		to form		# Q 2730		e156-6d5a-88c7-4edc	
dead plants			means	dead plant material			# Q 2733		2ce2-ff8c-2d8a-2242	
useful			means		able to be used		# Q 2734		3bb7-feb2-78e2-7baf	
	adapt		is similar to		evolve		#2375		3dcd-655b-4819-fd56	
	to attract	females; males	means		to attract mates		#2375		070c-358a-2c80-f586	
property			is similar to	measurement			#2377		c224-58b7-96eb-307c	
	to modify		means		to change		#2384		9c30-239c-0a96-3518	
	to move away		means		to increase distance		#2393		a9bc-1121-8bef-d0ac	
rays of the sun			means	sunlight			# Q 2746		ad6f-3f53-e4cd-2306	
	producing		is similar to		releasing		#2601		3c0a-2663-63e8-310e	
cell activity			means	cell process			#2601		7763-e225-ec04-d3c9	
	to obtain		means		to get		#2603		e8bd-2e06-a432-695f	
weather forecast			means	weather prediction			#2605		9b62-faf7-eb4e-6b25	
plus			means		to combine		#2622		daf6-36d5-585b-7a97	
	replacing		is similar to		recycling		#2624		b303-afef-dbbb-5f22	
	coordinate		is similar to		control		#2641		3482-18b1-1975-ac0d	
locomotion			means	movement			#2641		92aa-5e02-478d-dab9	
quickly			means	in a short period of time			#2647		2eb8-2624-4fe4-d28c	
	must have		means		require		#2649		c175-5e4f-945c-cb47	
	maintain		is similar to		control		#2650		fd6c-b63c-28aa-c1e2	
	changing	an ecosystem	is similar to		disrupting	an ecosystem	#2654		5308-44ff-2f95-749f	
	to be	a source of something	means		to cause	that something	#2661		4bc3-00d6-bc97-8838	
	to gain		means		to obtain		#2668		3b63-407c-1b54-7418	
organ system			means	body system			#2660		0031-1d31-516c-7c1e	
	to be formed by		is similar to		being produced by		#2688		2ca1-e3e5-5ac9-95c7	
	deplete		is similar to		decrease		#2695		f2d6-29ba-1070-12fd	
blue eyes			are similar to		light eyes		#2814		e8a2-95d9-1461-044a	
chemical reaction			means	chemical bonds	change		#2817		5750-60fc-7115-4cae	
	to change		means		to cause a change		# Q 2250		50fa-82d9-2062-4967	
	to lack		means		to not have		#2842		b2f8-8460-b200-8079	
	obtain		is similar to		receive		#2853		61ab-a404-0663-e672	
	located		means		situated		#2851		4cfe-a10c-34b1-dbd4	
	to pass		means		to transfer		# Q 2456		36a5-743c-afb1-f194	
constant			is similar to	same			#2882		f4cc-c5a9-917d-e041	
additional force			is similar to	outside force			#2882		30b5-a3e6-6ff9-56ac	
	to digest		means		to break down	food	#2904		7c9c-225e-5d6d-39ea	
	to keep	something occurring	means		to cause	that something to occur	#2355		c108-4bce-dd8b-9a56	
usually			means	most of the time			#2382		e8be-1ae3-8fb2-cd7a	
result			means	outcome			#2393		7901-400c-bd8e-65d4	
product			means	result			#2601		b47b-5eb4-2cb7-8eb7	
process			is similar to	method			#2608		4ae0-e4c8-99a5-9f67	
actions			mean	behavior			#2662		d1a1-ab79-fec3-c7aa	
	determine		is similar to		cause		#2927		42b0-6c36-d935-0461	
human			is similar to	individual			#2929		b570-7eff-8acd-4a60	
disease			means	illness			#2939		02d9-f788-cefc-90a5	
	following	an order	means		performing	an action on command			4717-6dc2-b3fe-7eb4	
	to prey	on an animal	means		to eat	that animal	#2950		8a42-072b-e4b3-99aa	
a button			is similar to	a switch			#2959		7f19-f2c7-0bb4-b965	
	to illuminate		means		to light up		#2959		1eac-3e2d-0cfd-1299	
	to categorize		means		to classify		#2963		320a-4424-fefe-faa1	
fuel efficient			means		uses	less fuel	#2972		eb81-bd38-a572-31e8	
resource management			means		managing	the use of resources	#2980		390a-83cc-3a2d-0c8c	
transit system			means	public transportation			#2985		4a51-b784-e03b-a1ad	
desirable result			means	positive impact			#2993		698b-45fa-1d5f-8823	
identical			means	copy			#2994		2a66-b714-9100-e469	
everyday			means	daily					56d5-e12f-04d1-a637	
	to group		means		to separate		#3010		03f9-4dbd-3b0a-1fd6	
	to reflect	light	means		to scatter	light	#3020		435d-bfb8-b572-6c84	
the atmosphere			is similar to	the sky			#3020		0e85-1362-e513-8912	
	to pass through		means		to move through		#3022		ef94-9bb3-a1cd-9712	
sound wave			is similar to	sound			#3022		bc8e-4949-4a6a-b8ec	
astronomical body			means	celestial body			#3026		739b-bdb0-91b2-1056	
	controlling	a population	is similar to		decreasing	a population	#3032		1fcd-07b3-f366-f202	
	decreasing	something	is similar to		fighting	something	#3035		252e-8de8-4e74-54c8	
abiotic			means	nonliving			#3045		1bc6-7869-9e8a-2334	
	forming		is similar to	growing			#3048		f294-063d-cd07-8ae6	
rate			is similar to	speed			#3048		65f5-c785-c553-77a9	
	to contain	something	means		to have	that something	#3063		8d8c-3057-ce7d-c4df	
the Appalachians			means	the Appalachian Mountains			#3078		68b6-61ac-7d62-1ed8	
	being pushed together		is similar to		colliding		#3078		f0d1-0312-a9a0-4536	
dental			is similar to	tooth			#3082		3d35-52d8-e78d-7776	
	drawing back	up; into	is similar to		returning		#3090		f18a-b030-5f66-5ffb	
	to pass into		means		to enter		#3100		e610-8d7d-30ac-e4fd	
	to repair		means		to fix	damage	#3101		e8ab-f168-ec58-ad28	
a range of a spectrum			means	a part of a spectrum			#3103		c8bc-aa10-828c-5b58	
unit			is similar to	part			#3104		c78b-0a6d-70b9-47ff	
	exerting force	on an object	means	a force	acts	on an object	#3121		78bb-1a9c-dc5f-468b	
motionless			means		staying	in the same place	#3121		8ff0-cc75-85e7-9364	
