PROCESS_NAME	[FILL] means	CONDITION_AGENT/OBJECT	CONDITION_VERB	CONDITION_PATIENT	DURATION1	SCOPE1	QUALIFIER (rarely/sometimes/usually/always)	[FILL] causes	RESULT_AGENT	RESULT_VERB	RESULT_PATIENT	DURATION2	[FILL] for	FOR/PURPOSE	QUANTITY/RANGE	SCOPE2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		nuclear fusion						causes	star formation										bd14-3e52-3df9-f7f9	
	a	star collapsing						causes	a supernova								MOVE TO FORMEDBY	SW 81c7-6e68-5d00-0b67	8146-f71e-a0d5-1244	
	a	convex lens						causes	light	to refract and concentrate				to magnify distant objects					9dd7-bce3-00ec-dc2b	
		Earth's angle of tilt						causes	the length of day and night	to vary									d1e5-99a8-b08b-6e3d	
		gravity						causes	nebulas	to collapse									fbc6-4367-44b5-69e9	
		Earth's shadow	falling			on the moon		causes	a lunar eclipse								move to FORMEDBY	SW b617-9cb8-afab-68ac	77aa-4671-c79a-ddba	
		amount of sunlight						causes	changing weather patterns										4f8a-45bb-49e5-8b95	
		nuclear reactor						causes	long-term waste disposal problems										526c-f577-e8db-5c18	
			removing	coal			can	cause	the change of 		the structure of the earth's crust								fa67-d263-0058-7cec	
			removing	coal			can	cause	contamination of the groundwater		the groundwater								edf1-e669-6f8e-0e1a	
			removing	coal			can 	cause	methane 	to release									d402-20d2-edf7-64e0	
		ozone	absorbing	sunlight				causes	the temperature of stratosphere	to increase						with altitude			65c3-5a52-dcd0-c651	
		greenhouse gases	building up				can	cause	global warming										e52b-5483-6739-4e8d	
		solar energy					rarely	causes	pollution										ccfb-9a10-b3bf-b202	
		deforestation						causes	soil fertility	to decrease							COUPLEDREL	SW b035-f9c4-7ccd-f9ba	78b6-77ba-b94e-a2c1	
		irrigation						causes	water levels	to decrease							CHANGE-VEC		e8b3-aa2c-a068-4bae	
		ground water depletion						causes	land subsidence										1f1b-732d-01ea-3bed	
		high temperatures			during fossil-fuel formation			causes	a higher percentage of natural gas	to form									ca51-6f77-efc6-1813	
		fossil fuels	burning					causes	pollution										46e6-9074-4802-bd21	
		an organism	becoming extinct					causes	a change							in the organism's food web			bcea-1e23-1502-03b3	
		a change				in a food web	can	cause	damage to an ecosystem										5109-b659-a796-43e6	
		overcrowding of a species					can	cause	a food shortage										8471-d6aa-23f4-7b9b	
		a food shortage					can	cause	the population of a species	to decrease									25a5-cdb3-1e66-e5a1	
		mountains					can 	cause	the water in the air mass	to condense									716f-2910-0e16-d68b	
		ocean water level	rising					causes	the salt content of coastal wetlands	to increase							ocean water rising causes flooding; wetland absorbs water; the more salt water the wetland absorbs, the higher the salt content		57da-e1af-d20c-3c90	
		ocean water level	rising					causes	seawater	to flood	coastal area								f51c-f742-b97c-792e	
		ice caps	melting					causes	ocean water levels	to rise									e53c-3c50-839b-4767	
		rich nutrients					can	cause	algae; phytoplankton	to increase							rich nutrients have a positive impact on algae; positive impact increases the population; algae is a species	SW 04a1-58cd-53ee-80b2 68b5-2680-afb6-e02a	1480-8f4d-1489-4cc6	
		volcanic eruptions				early on Earth	maybe	caused	a large proportion of the matter							in hydrosphere			ca0b-e856-db79-77df	
		extensive glaciation					can	cause	ocean volume; ocean area	to drop						steeply			7adc-0573-dede-ff34	
		the wind	blowing across	the surface		of the ocean		causes	wind-water interaction										d19a-a5c4-d04a-440b	
		the wind-water interaction						causes	upwelling										836d-fc22-0f71-ccbc	
		the drag of wind						causes	the surface of the water	to change	its direction					toward the direction of the wind			3455-c2ca-8db5-2694	
			the gravitational pull	of the Sun		on Earth's oceans		causes	the tides										b75d-4ff4-3225-6e84	
		dysentery amoeba					can	cause 	dysentery										5943-63b2-6d21-135d	
		positive charge						cause	the particles	to bounce off	the metal								eb5f-4cf5-c138-6c36	
		unbalanced electrical charge				of object; material		causes	static electricity										3e53-e6b1-a46f-6e40	
			losing; gaining	electrons				causes	the electrical charge of an object	to be unbalanced									b86d-c87d-862d-120c	
		chemical reaction						causes	atoms	to lose; to gain	electrons								0be9-7731-48d8-412f	
		air pollution						causes	a slow change		in ecosystem								45e3-d495-cac5-11a0	
		high humus content						causes	the soil	to be brown									22a5-f9ec-01f5-2f9b	
		earthworms						causes	more water and air	to penetrate	the soil						broken down into separate facts. earthworms creates tunnel and tunnel increase...	SW be53-39e0-bbd0-877c ab04-cf17-c4b3-09d4 eccc-ccef-2b84-af94 19f5-4162-4c01-59aa	5a73-8262-e35c-75f1	
		a high amount of		sand		in soil		causes	soil  	to drain	water					quickly			b7b8-59f9-3d3b-1ded	
		a high amount of		clay		in soil		causes	soil	to retain	water								e508-bfaa-b514-e49d	
		iron element				in soil		causes	soil	to be red									11bd-5e56-8129-a9e2	
		different soil content						causes	the color of soil	to be different									5ceb-3bec-15a9-e1df	
		a decrease		in soil thickness			can	cause	harm		to trees								ef4c-b558-c86c-1f78	
		soil chemical stress					can 	cause	oak tree	to decline									0b4f-b584-c0fd-285d	
		wave action						causes	beach erosion										aefb-ed62-03ae-b617	
		overproduction				of crops	can	cause	soil fertility	to decrease									75fc-bb83-6dc1-8b09	
		soil erosion					can 	cause	desertification of the land										7c20-d1c7-aa17-41a2	
		a decrease		of a resource			can 	cause 	resource shortage										e109-8bd3-4091-c20c	
			removing	groundwater			can	cause	desertification of the land										dd12-1933-0fc4-21bb	
			removing	underground resources			can	cause	the formation of sinkholes								moveto FORMEDBY	SW 569f-00ff-79a3-afc6	90b9-0019-3e10-ca0e	
			having	more sediments		in a body of water	can 	cause	an overload of sediments										435e-5341-f169-b3f3	
		acid					can	cause	rocks 	to weather						by chemical reaction			31e7-1ab4-8e27-937e	
		iron deficiency					can 	cause	the leaves of plants	to be yellow									2d08-b803-e81a-961a	
		mechanical weathering						causes	the expansion of rock; the contraction of rock										f60e-7e77-f3f9-fb20	
chemical weathering	means	chemical reaction						causes	the weathering of rocks										a135-6a9e-497e-b96c	
organic weathering	means	organisms						cause	the weathering of rocks										0223-a72d-8089-aca2	
		groundwater					can	cause	rocks 	to dissolve						by chemical reaction			7299-e9ec-037d-dcb1	
		dry and hot weather				for a long time	can	cause	drought										b6b1-26df-3362-29e1	
		a thunderstorm					can	cause	a tornado										9e0a-e07b-7204-deb0	
El niño								causes	surface temperatures of Pacific Ocean	to rise							decompose		79ca-91ba-1a9c-ce25	
El niño								causes	drought							in the western United States	decompose		212e-358e-8db7-a05e	
El niño								causes	flooding							on the Pacific coast of South America	decompose		b787-d22e-8379-bbbc	
		a tornado					can	cause	a narrow path of destruction										fc34-6f57-a31f-7908	
		strong wind					can	cause	destruction of a habitat										bba1-b6e5-3a4b-3b65	
		heat and moisture				over ocean		cause	the formation							of a hurricane			9358-e2ba-fd68-d0f6	
		Coriolis effect						causes	the rotational pattern							of a hurricane			3ba2-b59d-73d7-062d	
		smoke				from volcanic eruptions		causes	air pollution										e26f-4e93-77af-fdfc	
		surface sediment				that is not porous	can	cause	flooding										8fa0-f7d5-c157-253c	
El niño								causes	varied weather								decompose		12b7-e098-b9af-464a	
		high runoff						causes	flooding										1a0c-201c-df07-2304	
		high precipitation						causes	high runoff										b44a-2633-fa90-c8c1	
		low infiltration						causes	flooding										2215-81de-b171-464b	
		Pacific plate activity						causes	75% of the active volcanoes 							on Earth			139b-9c82-b426-0400	
		different chemical impurities						cause	quartz 	to have different colors									7a47-bd85-a07c-bee0	
		the collision 		of the boundaries				causes	rocks 	to fold									27ad-b4b0-5aca-a635	
		the air pockets				in pumice		cause	pumice	to float						in water			3c38-8263-7c61-09b8	
		the subduction of		one tectonic plate				causes	accretion 		on the subducted tectonic plate								6454-9442-eb1a-c040	
		extreme high pressure						causes	the inner core of Earth	to be in solid state									06fc-7792-113d-2c98	
		acid rain						causes	water pollution										75ea-1f13-1604-da58	
		runoff				from a cropland		causes	water pollution										fb41-0702-939a-040a	
			littering					causes	land pollution; water pollution										0abb-a967-e963-6e9e	
			rubbing 	wool		on rubber		causes	static electricity										2f00-e26d-3f28-d488	
			rubbing 	fur		on glass		causes	static electricity										9609-3fbc-d9ee-ba27	
		glaciers	moving					causes	mechanical weathering								duplicate	SW 2f61-1e65-c812-3feb	c83f-b725-89c6-a1b2	
		low precipitation	lasting		for a long time		can	cause	drought										a984-de64-8180-cdc7	
			breathing in	mold spores		into respiratory system	can	cause	allergy reaction; asthma										1940-3e00-ade5-5d84	
