[FILL] a	ACTION	AGENT/OBJECT	SCOPE1	QUALIFIER	[FILL] is used to	FOR/PURPOSE	PATIENT	[FILL] by	AGENT/THING WHO USES	[FILL] by/through	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a		dissecting kit			is used to	dissecting; study anatomy										0703-90fa-47d1-bd86	
		subtraction		can	be used to	find 	the difference 					between two things				fd9e-2e83-ca7e-a9dd	
		atomic number			is used to	describe	the proton number					of an element				69a3-a061-33ea-e758	
		valence electrons			are used to 	describe	electrons					on the outer electron shell				788e-2a30-a662-9602	
		wet mount			is used to	observe 	live organisms			by	using a microscope					ff56-e8f7-81ae-8e89	
		color of the soil		can	be used to	indicate	the soil component									8c5b-db43-e4a0-0974	
		Saffir-Simpson scale			is used to	measure	the intensity and distructive potential					of hurricanes				845a-ecc5-72cc-2e16	
the		origin of rocks		can	be used to	classify	rocks									13bf-8e7c-2585-a556	
		bauxite		can	be used to	produce	aluminum							AFFORDANCE	SW a569-d89b-a113-f74d	18e4-47b8-5554-8318	
		ultraviolet light		can 	be used to	identify	the fluorescence 					of a mineral				05a3-30c1-937b-b8f8	
a		streak plate		can	be used to	determine	the hardness					of a mineral				cd93-2714-3e29-9def	
		cleavage pattern		can	be used to	identify	minerals									8c1e-e28e-04ee-4cad	
	breaking	a piece of a mineral	into flat sheets	can	be used to	find out 	the cleavage pattern					of the mineral				cb05-efdb-180b-02d8	
		Bowen's reaction series			is used to	represent	the formation					of minerals				4787-9157-f418-0dd7	
		hardness		can 	be used to	identify	minerals									2bc5-2931-e694-ba1a	
		radiometric dating			is used to	identify; determine	the absolute age					of the rock				cdd5-b6fa-df05-0eff	
		rock formation		can	be used to	study	the history of rocks					on Earth				b3ae-8af6-0c35-1bb2	
		fossils		can	be used to	study	the history of organisms and environments					on Earth				094f-536c-e31e-1f73	
		fossils		can	be used as	evidence for 	the existence					of a kind of organism				215f-5f51-dd70-1433	
the		law of superposition		can 	be used to	determine	the relative age					of the rock				d671-cda9-6231-f866	
		mass spectrometer			is used to	determine	the relative age					of the rock				4f24-f389-8943-a78d	
		index fossils		can	be used to	determine	the age of the rock layer					of those index fossils				9b4d-3a3f-d644-e247	
		fossils		can	be used as	evidence for 	the ancient environment									a8f0-0fb7-9694-319b	
an		internal combustion engine			is used to	move	the automobile									f58a-3073-53ae-87b4	
the		radioactive isotope content	of a rock		is used to 	identify	the age					of the rock				d01d-88be-f7ad-9186	
a		catalyst			is used to	speed up	the speed					of a chemical reaction				1e97-f26b-2013-2eb4	
		fossils		cannot	be used to	infer	the skin color					of an extinct animal		negation		8bb7-dde1-bfab-490b	
the		skeletal system			is used to	give structure for	the body					of animals				281b-1064-ba38-7da4	
the		skeletal system			is used to	provide	protection; shape; support					for animals				1a92-e330-2321-97aa	
the		shell	of an animal		is used to	protect	the animal									a400-d150-a8db-cc9d	
