[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE1	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	downward	is a kind of		direction								098d-fb47-d982-7a36	
a	drinking straw	is a kind of		object						# Q 480		9349-71b6-e9b8-fd21	
	driving	is a kind of		skill	for	operating a vehicle				#714		f764-ebbe-8f77-1ea2	
	driving	is a kind of		way of commuting						#2863		1c0e-a081-e0b7-5a99	
a	drop; droplet	is a kind of		liquid					of small amount	TODO: find a better table		f3d7-58e4-df8d-4c5f	
a	droplet	is a kind of	little	drop						# Q 1705		82db-e172-d4b8-5aca	
a	drought	is a kind of	natural	disaster						# Q 1523		3e09-df41-a63a-cf1c	
a	drought	is a kind of	slow	environmental change						# Q 8		31b1-33e5-a71c-0f61	
a	drought	is a kind of	natural	event						#557		f997-a1ce-5dd5-9716	
a	drum	is a kind of		musical instrument								d1b6-8301-bd8c-c627	
a	duck	is a kind of		animal								e763-d114-af0e-426c	
a	duck	is a kind of		aquatic animal						#181		371e-0bce-867d-1e1a	
a	duck	is a kind of		bird						#2084		b40f-032c-a3c4-57f2	
an	eagle	is a kind of		animal						#337		133f-8977-dfd9-c969	
an	eagle	is a kind of		bird								b528-99f7-f98d-4a09	
an	eagle	is a kind of		bird							Duplicate. All used deleted.	8ee9-0f70-2826-d99c	
an	ear	is a kind of		body part						incorrect -- partof		02a9-6ebd-741c-ddf1	
an	earlobe	is a kind of		body part						incorrect -- partof		2c08-7667-3a32-cd76	
	Earth	is a kind of		planet								e473-7297-61c1-56fa	
	Earth	is a kind of		planet							Duplicate. All used deleted.	1a6d-a427-8ac0-28bf	
an	earthquake	is a kind of	natural; geological	event						# Q 666		8129-78ea-abe4-f382	
an	earthquake wave	is a kind of		wave						# Q 2527		927c-ab48-9218-4257	
an	earthworm	is a kind of		animal						#1346		f6bf-c88d-502b-826b	
an	earthworm	is a kind of		decomposer						#1638		cf2d-8332-c29b-2c57	
the	Eastern Hemisphere	is a kind of		hemisphere				of Earth		# Q 2149		0527-8a98-eb69-f5e6	
	eating certain foods	is a kind of		habit						#147		26dc-135c-41e9-6a03	
an	echo	is a kind of		sound						# Q 910		e9e5-df09-379a-fa17	
an	ecosystem	is a kind of		habitat								9156-3212-805b-fd3d	
an	egg	is a kind of		food						#1684		7eae-fed8-4c36-88aa	
an	egg	is a kind of		object						# Q 691		14f6-1b4a-f963-8a50	
an	egg cell	is a kind of		sex cell						# Q 2431		1ea4-b6ed-401d-24bb	
an	electric car	is a kind of		invention						# Q 1972		f829-cd8d-c894-e9ee	
an	electric fan	is a kind of		electrical device	for	cooling; ventilation						d259-7bf2-a54b-5195	
an	electric toothbrush	is a kind of		electric device								106a-0379-0b23-ab7d	
	electrical energy	is a kind of		energy						# Q 1730		b5ca-9f64-d6d6-6783	
an	electromagnet	is a kind of		electric magnet								efca-82f8-2845-8de5	
	electromagnetic energy	is a kind of		energy						#2677		70dc-b681-ffcd-e130	
an	electron	is a kind of	charged	particle						#1800		7663-f110-4072-8d48	
an	element	is a kind of		material						#1398		e384-486e-8a78-a853	
all	elements	are a kind of	pure	substance						# Q 922 PROP-MAT-PURITY-MIXTURE	SW 7c4a-208c-2aa4-7679	4706-54ea-c8d6-bedd	
an	elephant	is a kind of		animal						#3239		3b02-7f9a-50ac-d2d5	
the	endocrine system	is a kind of	body; organ	system						#2642		2cb6-1dce-a7fd-b13a	
an	energy source	is a kind of		resource								044f-98c1-07d1-2e57	
	ensuring	is a kind of		function						# Q 2238		049f-5d68-fec3-6914	
an	environment	is a kind of		place						# Q 43 		fc8a-1dc7-a746-de58	
the	equator	is a kind of		location						#2381		a0b7-1826-744b-5423	
an	eraser	is a kind of		solid								0164-3d03-ab81-9b9a	
	erosion	is a kind of		change						# Q 688		e28b-677c-4a92-cf3b	
	erosion	is a kind of		destructive force						# Q 1181		818d-694a-356a-68bb	
	erosion	is a kind of		process						# Q 1929		7fff-260d-92e0-8f87	
an	estuary	is a kind of		body of water						# Q 1571		95ee-8457-ae77-ae9a	
	euglena	is a kind of		organism						#3058		ca49-f99d-199c-d783	
	Europe	is a kind of		continent						# Q 2250		5dc5-e754-4e11-8eab	
	evaporating	is a kind of		phase change						#2946		4a2c-c349-a627-edc5	
	evaporation	is a kind of		process						# Q 73		bfeb-fb56-8937-91c9	
an	event	is a kind of		action						# Q 1772		d3ac-d13c-97bb-6a5a	
	evolution	is a kind of		process						#3068		4729-f220-b5b7-8b83	
	examining	is a kind of		process						#3253		8c09-4473-6962-6add	
the	excretory system	is a kind of	body	system						# Q 1160		023e-be5e-200d-d253	
	exercise	is a kind of	physical	activity								c408-fd09-500e-0867	
	exercising	is a kind of		habit						#170		7069-dcda-4749-8fe9	
	expand	is a kind of		change				in volume		#538		57fc-8994-cc18-9090	
	eye color	is a kind of		inherited characteristic							Moved to PROP-INHERITEDLEARNED	19cd-251d-7145-af81	
an	eyeglass lens	is a kind of		object						#1436		93f3-4dd8-30f7-de3f	
	fall	is a kind of		season								8c3a-1f07-c11d-ad88	
the	fallopian tubes	are a kind of		organ						# Q 2417		4d53-2609-ffad-e501	
a	farmer	is a kind of		human						# Q 37		f764-c0c4-fc12-70f2	
	farming	is a kind of		process						# Q 621		9963-e79f-4516-551a	
a	father	is a kind of	male	parent						# Q 2459		598c-ecf8-0483-9a70	
a	fence	is a kind of		object						#438		b241-1f01-1b84-2601	
a	fern	is a kind of		plant						# Q 1704		9a85-698e-680e-5033	
	fertilization	is a kind of		process						#2909		8d80-3c56-453a-181e	
a	fertilized egg cell	is a kind of	somatic	cell						ADJ in front?		84b4-2c8a-8996-0366	
	fiber	is a kind of		material						# Q 121		04a7-76c0-16a3-fbb0	
a	field	is a kind of		environment						outdoor scope?		2a18-601d-51f0-3abc	
a	field	is a kind of		environment							Duplicate. All used deleted. 	b880-7186-8fd7-c440	
a	field	is a kind of		habitat								1368-2e1b-eb74-f182	
	fighting	is a kind of		action						#2662		72bd-61a6-4ae7-0a9c	
a	filter	is a kind of		tool	for	separating liquid from solid particles				#563		f349-c742-9e3b-e235	
	fire	is a kind of		chemical reaction								6cf1-9d92-5a26-93fd	
a	first quarter	is a kind of		phase of the moon						# Q 676		a62b-415d-357f-995a	
a	fish	is a kind of		animal								9526-aecc-22b2-4b6a	
a	fish	is a kind of		animal							Duplicate. All used deleted. 	0bc0-31f6-513b-ff06	
a	fish	is a kind of		aquatic animal						# Q 6		a94e-e849-c066-fecd	
	fish	is a kind of		meat						#1493		5298-d80f-5675-6ea3	
a	fish	is a kind of		scaled animal						#316		7ec2-c1a0-5e6d-55eb	
a	flagpole	is a kind of		object						#567		35d1-8c12-878d-beb6	
	flammability	is a kind of	chemical	property						#1319		6583-a76d-4f3f-b4f0	
a	flashlight	is a kind of	electrical	device						# Q1153		130a-ea4e-6de1-a4af	
a	flashlight	is a kind of		tool								54d6-953e-c432-50de	
a	flashlight	is a kind of	battery-operated	device						#3192		8f0f-0358-dc1c-8630	
a	flipper	is a kind of		limb								efe5-2110-2946-4748	
	floating on water	is a kind of		adaptation						# Q 1720		fb07-29fd-92ad-c6bb	
	flooding	is a kind of		change						# Q 199		ec04-9eb8-f263-13ea	
a	floodplain	is a kind of		land; landform						# Q 1509		e4d7-20bc-aa47-3dd9	
the	floor	is a kind of		object								785d-6676-9d5d-78b2	
a	flower	is a kind of		plant						# Q 1554		e337-f5c8-75aa-81b6	
a	flower	is a kind of		object						#3324		1010-83ca-3ec4-bf7f	
	flowing	is a kind of		motion								a52a-1b59-1f8c-028e	
	fluorine	is a kind of		halogen						# Q 2519		3bc5-7678-cbf4-6ea5	
a	flute	is a kind of	musical	instrument						# Q 1178		e199-cb9e-c3be-c3de	
a	fly	is a kind of		insect						#759		dad4-aeac-6f8a-c42b	
	flying	is a kind of		motion			through	air; space		through okay?		464c-d7c3-7c7d-8ae7	
a	force	is a kind of		push or pull				on an object				464e-fb6d-1ff8-2e3a	
	food	is a kind of		chemical energy								c457-baf0-ed17-9213	
	food	is a kind of		object						# Q 53		dd4a-59cf-dde4-11b2	
	food	is a kind of		resource						# Q 59		6cf8-4a91-b857-9203	
	food	is a kind of		substance						#2031		c31f-f938-8a69-233b	
	food poisoning	is a kind of		illness						# Q 923		ccdf-6c73-fb7c-ab36	
a	food preference	is a kind of		preference								c01f-8454-a55a-ac57	
a	forest	is a kind of		ecosystem								e58d-03a1-b94d-942d	
a	forest	is a kind of		environment								b5d1-0f14-f32e-c6b4	
a	forest fire	is a kind of		event						#3079		705e-618a-5243-da20	
a	fork	is a kind of		object								8fae-9711-61b9-fce8	
a	fork	is a kind of		utensil						#2934		8246-1928-b407-e72e	
	formation of a state of matter	is a kind of		process						#545		5ebf-99ed-deef-f31d	
the	formation of rock	is a kind of		process						#1430		6745-a12f-f936-8192	
the	formation of something	is a kind of		process						# Q 1918		402b-f67a-2f5a-0a05	
	forming	is a kind of		action						#3095		ac40-492f-f9ef-976f	
	forming something	is a kind of		change						#2182		fd3c-8fc5-fc72-8ccf	
a	fossil fuel	is a kind of	natural	resource						# Q 2209		488c-1538-f56c-cd87	
	fossil fuels	are a kind of	energy	resource						#2899		20ac-3022-d732-df85	
a	fox	is a kind of		animal								9714-412f-bfe4-c7ab	
	frame construction	is a kind of		industry						# Q 2274		d76b-0f3d-7715-d652	
	freckles	is a kind of		inherited characteristic							DEP - replaced with cfdf-d0cc-a5c3-d5c1 (PROP-INHERITEDLEARNED)	36f8-40f6-3ae3-9524	
	freezing	is a kind of		phase change						#2946		eebb-a341-23c6-8447	
	freezing point	is a kind of	physical	property						# Q 1900		d3b3-ecd0-5b4d-bedf	
	freshwater	is a kind of		water						#2800		6b91-9b96-0534-733f	
	friction	is a kind of		force						#256		dc6a-e211-23ac-d827	
a	frog	is a kind of		amphibian						#1022		37e7-fd9e-4591-1258	
a	frog	is a kind of		animal								9e89-73fd-66d5-18e2	
a	frog	is a kind of		aquatic animal								59c6-0fc8-f645-a67b	
a	frog	is a kind of	adult	form				of a frog		#1023	Moved to Proto-Instances	c04e-31db-cf48-5a24	
	frost	is a kind of	solid	water						#3397		f2f7-b867-08cf-562a	
	frosting	is a kind of		material						#869		a3d0-8bed-e536-0fd9	
	fruit	is a kind of		food								d1e4-c4e1-111b-0f34	
a	fruit	is a kind of		object						#523		16ce-a772-1577-f0e3	
	fruit juice	is a kind of 		drink						# Q 2483		f1e3-1d2a-178c-681e	
	fruit trees	are a kind of		crop						#892		59c5-767d-fe82-f747	
	frying food	is a kind of		cooking						#1684		9793-b861-bc67-0e67	
	fuel	is a kind of		energy source								1b14-afc4-9d2b-8dbd	
	fuel supply	is a kind of		resource						#1272		1aed-3c74-88e1-9d96	
a	full moon	is a kind of		phase of the moon						# Q 676		061d-1ec6-4a7a-9f63	
a	function	is a kind of		characteristic						# Q 240		7697-a428-b299-c144	
	Fungi	is a kind of	biological	kingdom						#2313		11cb-08cb-2d4f-17d6	
a	fungus	is a kind of		living thing						# Q 122		4ae9-5a73-3f04-48f7	
a	fungus	is a kind of		organism						#2371		0d71-4b21-e0a6-450b	
a	fungus	is a kind of		eukaryote						#2371		a2a5-d7a1-78bb-3c45	
a	galaxy	is a kind of	very large	system of stars						#2398		dd3b-8dac-b4d6-5fcf	
	gas	is a kind of		state of matter						# Q 605		aa73-331e-e970-c934	
	gas	is a kind of		substance						#421		6c6f-b690-6b57-aab6	
	gas	is a kind of		material						#2919		481d-d730-fc26-caa0	
	gasoline	is a kind of	chemical	power source								6fdb-9531-3440-bb07	
a	gear	is a kind of		object						#2604		3721-154d-c74f-e9a5	
a	gene	is a kind of		unit				of hereditary information		#2680		d15d-a5d2-82a6-cc33	
a	generator	is a kind of 		device						# Q 2205		c150-9533-59ad-1c3f	
a	germ	is a kind of	harmful	substance						#1357		61e4-bb67-a031-8154	
a	gill	is a kind of		organ	for	breathing water						3756-21fd-e448-dbfc	
a	gill	is a kind of		organ							Duplicate. All used deleted. 	ba09-b38e-44af-2b6c	
	gills	are a kind of		adaptation	for	getting oxygen		underwater		#1045		9f02-a641-79a9-d4ec	
a	girl	is a kind of		animal								9a26-1df3-851d-e9e4	
a	girl	is a kind of	young; female	human						#2037		a50c-ba38-bbe4-12c1	
a	girl	is a kind of		organism								6d01-d990-df90-0a6d	
a	glacier	is a kind of		body of water						#838		7b89-9ee6-46e3-69f9	
	glass	is a kind of	open	container								6198-fec8-e40b-1993	
	glass	is a kind of		object								d709-d70e-7d0f-3f54	
	glass	is a kind of		solid				at room temperature		# Q 2465		a021-1daa-802b-93c7	
a	glider	is a kind of		object						#2341		f2d2-8251-921e-49e0	
	global warming	is a kind of	environmental	problem						#3167		e0db-fc01-d887-ea05	
a	glove	is a kind of		tool						# Q 1743		ca30-823e-fdba-2aab	
	glucose	is a kind of		substance						#3333		a91d-4e3d-356d-a62b	
	glycogen	is a kind of		substance						#3333		0430-f1a4-2e87-a5ff	
	gneiss	is a kind of		metamorphic rock						# Q 2730		508b-2d8b-6d54-a8f3	
	goggles	are a kind of		object						# Q 997		95d8-d1fb-bd0a-1a66	
	gold	is a kind of		element								eb57-77f3-768e-3665	
	gold	is a kind of		solid						#1241		41ff-4240-13ce-27e0	
a	goldfish	is a kind of		fish						#1309		502a-ad74-1aed-3da5	
a	goose	is a kind of		bird						#1626		73a9-a826-930a-758c	
a	gorilla	is a kind of		animal						#3280		7c86-dfb5-3275-61b7	
a	gourd	is a kind of		fruit								3f08-d790-ccf8-af59	
a	graduated cylinder	is a kind of		instrument	for	measuring volume of liquids or objects						8fee-0f80-9fbf-df1d	
a	gram 	is a kind of		unit	for	measuring mass						d2f9-367f-2c90-fbcd	
the	Grand Canyon	is a kind of		canyon						#357		bea1-3b11-3955-ffaf	
	granite	is a kind of	igneous	rock						#2958		65b7-dcc0-e9d7-6b54	
	grass	is a kind of	green	plant								9d2f-b39b-3921-a54c	
a	grassland	is a kind of		environment						#1339		4fd1-9865-f350-6e2c	
a	gravel pit	is a kind of		environment						#3377		9487-20e0-d5bb-0cbd	
	gravity	is a kind of		force								1271-8178-87cf-045c	
	green	is a kind of		color								8f8e-37fa-0093-b7ef	
	green marine algae	are a kind of		producer						# Q 2437		f216-9e38-7dc7-a6d1	
	green plants	are a kind of		producer								f812-4338-e44b-e685	
a	greenhouse	is a kind of		shelter	for	plants						4349-2e73-8808-3750	
	ground water	is a kind of		water						#260		a4ef-def5-ee56-4125	
	groundwater	is a kind of		water						# Q 2448		49e7-89a7-e1b4-e97b	
	growing	is a kind of		activity						#308		3b23-bc5c-3332-4508	
	growing	is a kind of		process						#1374		f116-778d-7f8a-6ec6	
	growth	is a kind of		change								a214-a651-6eff-93dd	
	growth	is a kind of		process						#2891		dde0-a739-e402-9c65	
a	guitar	is a kind of		musical instrument								71b4-e5fc-3ed1-a1c0	
	hail	is a kind of		precipitation							Duplicate. All used deleted. 	38db-5b79-b0cf-2898	
	hail	is a kind of		precipitation; ice								cb4c-5229-e5b9-6408	
a	hair	is a kind of		object						#1224		12a1-83f7-fc55-95a5	
a	halogen	is a kind of		element						# Q 2519		2c10-391e-6b8e-7dc4	
a	hamburger patty	is a kind of		meat						#3327		a3f8-5def-95bc-4c15	
a	hand	is a kind of		object						#476		d691-82fb-2145-80e4	
a	hand dryer	is a kind of		electrical device	for	drying hair						2728-2bde-6c00-9dd0	
a	handle	is a kind of		object						# Q 239		8985-7fba-d15d-a387	
a	hare	is a kind of		animal						#1088		6f73-8241-0aaf-24ef	
a	hatchling	is a kind of	newborn; baby; young	bird								d68d-0b43-19d2-5526	
a	hawk	is a kind of		animal						#338		78d2-c53f-0244-23c2	
a	hawk	is a kind of		bird								8e51-19a5-59e8-ff11	
	healing	is a kind of	biological	process						# Q 2242		f3e0-a9eb-36d2-441b	
	hearing	is a kind of		sense						# Q 1790		e3f1-e16c-dd80-32ea	
a	heart	is a kind of		organ						#464		9078-ba6c-fdad-d876	
	heat	is a kind of		energy								9e7d-986e-6af1-5ac1	
	height	is a kind of		position						#3312		93e7-26bc-363f-b089	
	helium	is a kind of		gas						# Q 2463		a4e7-1e7b-d533-2a7f	
	helium	is a kind of		element						#2383		e377-7e6c-08ee-0af6	
a	hen	is a kind of	female adult	chicken								b0ce-cf5b-dba3-3b9b	
	hiding	is a kind of		protection				against predators; from predators				19da-4665-c208-b9ae	
a	hill	is a kind of		incline						#2844		216c-2f7f-3079-549b	
the	Himalayas	are a kind of	mountain	range						#2000		81c7-3170-da45-e21d	
a	hit	is a kind of		touch						#2021		c6d0-b0ba-ba3b-db1c	
a	home	is a kind of		building								4d1f-ad79-3299-bfb4	
a	homeowner	is a kind of		human						# Q 1716		c71e-1ca8-f860-d544	
a	horned lizard	is a kind of		lizard						#369		e59c-b8d6-ebb0-b796	
a	horse	is a kind of		animal						#2399		14f6-6249-15eb-7158	
a	hot plate	is a kind of		instrument						# Q 1916		2326-f572-9b29-58d5	
	hours	are a kind of		unit	for	measuring time						122e-b36b-0183-80c7	
a	house	is a kind of		home						#1394		8b98-86c4-6f2f-94ad	
a	house	is a kind of		building						#2831		6868-a699-5560-dc3f	
	household appliances	are a kind of	electrical	device								53c2-3d92-5b32-6e64	
	how long something takes	is a kind of		measurement				of time		#1075		cc92-3103-fbe1-a87a	
	howling	is a kind of		behavior						# Q 2702		37b4-0093-0c70-0207	
a	hum	is a kind of		sound								26bf-b84f-072a-b68a	
a	human	is a kind of		animal								4253-4b9e-1e5f-1742	
a	human	is a kind of		mammal						# Q 1546		7160-91ab-6d7e-14c8	
	humidity	is a kind of		water vapor								06e7-3920-6321-983c	
a	hummingbird	is a kind of		animal								b631-3f9d-d4ae-c311	
a	hummingbird	is a kind of		bird						#259		3ed3-ffdd-5807-f126	
	hunting	is a kind of		action						#1437		317f-06e6-5e83-8d81	
	hunting; scavenging	is a kind of		skill						#1437		dc9f-1fff-15e4-352a	
a	hurricane	is a kind of		storm								65b3-3bde-505c-db9e	
	hydrogen	is a kind of		gas				at room temperature		# Q 2225		bcb9-f1d4-4c6d-cb70	
	hydrogen	is a kind of		element						# Q 2225		f861-f54e-3435-b0e6	
	hydropower	is a kind of	alternative	energy resource						#2189		c844-5280-4695-c6c6	
a	hypothesis	is a kind of		scientific term						#Q 2201		5003-5988-8e84-ea8d	
	ice	is a kind of		food						#786		d248-e9d4-d37d-546e	
	ice	is a kind of		object						#1382		2959-08e0-430c-0f87	
	ice	is a kind of		solid								7ef1-c28b-22e3-3edc	
	ice	is a kind of	solid	water					below 0 degrees celsius		Moved to PROTO-PROP-STATESOFMATTER1	9ad4-e422-5211-f98c	
	ice cream	is a kind of		solid								ee58-1bbb-62c4-2c84	
an	ice cube	is a kind of		object						#1333		d5e1-2384-26cc-edb9	
an	ice cube	is a kind of		solid								a1a9-97db-a771-1c2b	
	ice wedging	is a kind of		mechanical weathering								b525-3c38-249c-23da	
	igneous rock	is a kind of		rock								075f-d7cb-993c-ade1	
	igneous intrusion	is a kind of	geologic	process						#3326		1a71-d442-41e1-74e7	
an	iguana	is a kind of		lizard						# Q 1989		912b-606c-6d31-05e3	
the	immune system	is a kind of	body; human body	system						# Q 2204		eb72-192f-4ed4-b1de	
an	inclined plane	is a kind of	simple	machine						#547		7f2c-ec1b-0791-4c0d	
an	increase	is a kind of		change						#590		782a-53e7-c1c7-aae0	
	increasing	is a kind of		change							Duplicate (by lemmatizer). All used deleted.	6e22-28fd-6947-c23d	
an	inexhaustible resource	is a kind of	renewable	resource						#2018		740e-3d3d-bed5-6528	
an	inherited characteristic	is a kind of		characteristic								33f5-726f-b706-4a01	
	inherited characteristics	are a kind of		hereditary information						# Q 935		b37b-770d-c526-1766	
an	insect	is a kind of		animal								56bd-8c40-3dae-d3e9	
an	instinctive behavior	is a kind of		inherited characteristic; behavioral adaptation						#597		fdb9-edf0-6759-5f09	
an	insulator	is a kind of		material						# Q 1110		a651-4b86-5d6a-2327	
the	integumentary system	is a kind of	body; organ	system						#3349		5762-37c0-ce47-a745	
the	intensity of sunlight	is a kind of	seasonal	weather pattern						#1334		be92-1d31-0922-e113	
an	invention	is a kind of		tool						#1381		9ca1-8cf1-b7b6-526c	
	investigating	is a kind of		process						# Q 2520		0ee9-7579-138b-5bed	
	iron	is a kind of		element						# Q 922		bb4d-ea33-08e1-7106	
	iron	is a kind of		metal								de4c-ca36-c336-540f	
	iron	is a kind of		mineral						#832		564d-448d-05b5-998e	
	iron	is a kind of		solid						#1063		89f4-0fad-6afc-2199	
an	island	is a kind of		landform						#1261		84ea-d95d-42c4-a8fb	
an	ivy plant	is a kind of		plant						# Q 1556		b7fe-a475-0233-e760	
a	jackrabbit	is a kind of		rabbit						#2085		1399-e19b-a5ea-ed76	
a	jaguar	is a kind of	big	cat						# Q 1126		f3fc-b375-1da8-64a3	
a	jar	is a kind of		container						# Q 1745		3bdb-25d7-3c9f-958b	
	juice	is a kind of		liquid								14c4-c640-5d74-79a3	
	juice	is a kind of		matter						#1622		b481-9087-8ebc-502d	
	juice	is a kind of		solution						#866		b52b-5ade-22b4-b42f	
	jumping rope	is a kind of		skill						#2057		b70f-fde1-f800-1809	
	June	is a kind of		month						# Q 303		53f9-1eba-2408-8f4f	
	Jupiter	is a kind of		planet						# Q 69		b772-8846-82c7-f2d8	
a	kangaroo	is a kind of		animal						#1029		f40e-296d-660b-f8df	
a	kazoo	is a kind of		musical instrument								1d74-9f8e-c159-135b	
a	kettle	is a kind of	small; deep	pond						#2322		99b7-2eaf-2598-b664	
a	kick	is a kind of		push						#1456		2c22-fd47-fae8-9fec	
a	kidney	is a kind of		organ				in an animal		#282		1bbb-9096-773e-2c2f	
a	kilogram	is a kind of		unit	for	measuring mass						e9cb-fdf8-abe6-7d9a	
a	kingdom	is a kind of		taxonomic rank						# Q 2743		31f1-be71-1e39-05b4	
a	kitten	is a kind of	young; baby	cat							Moved to Proto-Instances	b52c-5991-8e05-236b	
	laboratory apron; laboratory coat	is a kind of	safety	gear	for	protecting a person		during an experiment		#2004		0025-3e37-acf0-467a	
a	ladybug	is a kind of		insect								cad3-7779-cc28-1338	
a	lake	is a kind of		body of water						#431		5d6a-544c-b296-832e	
	land	is a kind of		environment						# Q 1989		14d6-a024-da1b-d3d6	
	land	is a kind of		landform						#1348		d495-e54a-9fd2-0acc	
	land	is a kind of		resource						# Q 2522		5da4-b774-430e-8fab	
a	landform	is a kind of	natural	formation						# Q 1181		26bf-462e-a8fb-f637	
a	landform	is a kind of		object						#1208		197a-5152-85d4-6ed5	
a	landform	is a kind of		place						#1890		52e5-9469-b294-d665	
a	landform	is a kind of		place						#2351	duplicate	7503-27f9-f295-ab62	
a	landslide	is a kind of	natural	event						# Q 1512		17c2-1a0b-fa3f-63cb	
a	laptop	is a kind of		computer						# Q 2513		cc5a-33bc-0636-e708	
	large leaves	are a kind of		adaptation	for	absorbing sunlight				#1236		0fef-e04d-dcf6-d43a	
a	larva	is a kind of	young; baby	insect						#508		be4f-b918-8f3b-6a59	
a	laser	is a kind of		device	for	producing light				#1427		3168-bafc-668a-35fc	
a	last quarter	is a kind of		phase of the moon						# Q 676		0cac-60e6-ae3d-50ec	
a	law	is a kind of		scientific term						#Q 2201		5234-1582-276f-00f6	
a	lawn mower	is a kind of		machine						#3089		3a57-a4ac-6fc7-feee	
	laying eggs	is a kind of		property				of an animal		#552		d129-c045-1013-af8c	
	lead	is a kind of		element								d08f-9cae-ad54-80ed	
a	leaf	is a kind of		object						# Q 206		08e0-810a-daa2-5a48	
a	leaf	is a kind of		plant						incorrect -- partof		ea5f-42f2-93e0-9520	
a	leaf	is a kind of	plant	organ						#3314		8f7c-1063-8805-ff44	
a	learned characteristic	is a kind of		acquired characteristic						# Q 335		ef15-b075-f83c-0d12	
	leather	is a kind of	natural	resource						#794		ebb0-2d7d-5836-60f1	
	leaves changing color	is a kind of		process						# Q 1775		189c-21f9-3228-3f0c	
	leaving	is a kind of		movement						#1626		b505-0192-dee3-0797	
a	lemon	is a kind of		fruit						#2651		c428-876b-5389-4412	
	lemon juice	is a kind of		acid								ab2d-d7ee-ac33-9276	
a	lemon tree	is a kind of		plant								9cf1-bc5a-d350-5541	
	Leo	is a kind of		constellation						# Q 47		986b-2bb0-3244-7133	
a	lever	is a kind of		simple machine								9d48-4f8c-09fc-ea0d	
a	lever	is a kind of		simple machine							Dup. All used deleted. 	ffc8-91cc-45f1-f4b1	
a	lid	is a kind of		object						#2938		c903-f0a2-2d4c-8d0b	
	light	is a kind of		energy								f742-384b-744c-10a9	
	light	is a kind of		energy							SW f742-384b-744c-10a9	ca59-5c7a-3f3d-6f48	
	light	is a kind of	nonliving	thing						#705		c035-787b-ecbc-b968	
	light	is a kind of		wave						#331		7830-1dcb-42c6-d8dc	
	light	is a kind of	electromagnetic	radiation						# Q 2412		f5bd-f09f-df33-571f	
a	light bulb	is a kind of	electrical	device						# Q 1701		00a4-b16a-aa4d-893d	
a	light bulb	is a kind of		tool	for	seeing in the dark				#768		b939-e20d-de35-8401	
	lightning	is a kind of	electrical	discharge								44c6-34b2-4f88-7519	
	lightning	is a kind of		electricity								c56e-40f5-5a3e-12cf	
	limestone	is a kind of	sedimentary	rock						#1429		f5b2-aca4-88b1-e3a4	
	limiting something	is a kind of		activity						#2032		8784-af6f-9679-ba17	
a	line graph	is a kind of		graph				of connected data points		#1428		5cf5-79ec-c7f8-440d	
a	lion	is a kind of		mammal						#776		eca2-7d3f-2d0b-9f93	
a	lion	is a kind of		animal						#2950		e729-b2af-f089-3c53	
	liquid	is a kind of		state of matter						#190		f7e9-c6f8-892b-3496	
a	liquid	is a kind of		substance						#1858		3f2b-87bb-f73a-3e5d	
a	liquid	is a kind of		fluid						# Q 2741		0875-15c4-7cf4-b175	
	literacy	is a kind of		skill	for	reading and writing						53ef-434c-c465-3752	
	liters	are a kind of		unit	for	measuring volume of liquids						5c13-e1a5-bbf3-8669	
a	liver	is a kind of		organ						# Q 2732		9b5d-df25-aa44-8d07	
a	living thing	is a kind of		object						# Q 82		4eac-892f-ecd2-6e0d	
a	lizard	is a kind of		animal								33a0-5ab1-14b3-6bf8	
a	load	is a kind of		object						#3208		1eeb-cbfa-62a3-3ae7	
a	load of bricks	is a kind of		object						#1494		405a-72ae-da94-0c7d	
	looking	is a kind of		activity						#3292		4967-e2e2-4a48-8fe8	
	loss	is a kind of		change						#733		4ed7-fd33-f63a-573f	
	lowering	is a kind of		motion						#547		b1b9-3449-128c-c247	
	lunch	is a kind of		meal								a7a5-0519-c54b-1f3a	
a	lung	is a kind of		organ	for	breathing air						e7d7-9393-dfc8-98bf	
a	lysosome	is a kind of		organelle						#3347		0ae9-dce5-2c9b-5159	
a	machine	is a kind of 		device						# Q 2523		4ee7-c063-03c2-f66d	
a	machine	is a kind of		object						#3089		905c-5cd7-9497-6765	
	magnesium	is a kind of	alkaline earth	metal						# Q 2419		5d85-9625-f208-7f43	
a	magnet	is a kind of		object								fe8e-2342-2aef-4d7b	
a	magnetic field	is a kind of		force								a00a-1166-57c3-f759	
	magnetism	is a kind of		force						#1460		9381-2aee-2b0c-d21c	
	magnetism	is a kind of	physical	property						#1063		68c8-0c77-7fa9-5633	
a	magnifying glass	is a kind of		tool	for	observing small things						685f-4657-44af-cee7	
a	mammal	is a kind of		animal								2a1f-7883-c269-3736	
	mammals	is a kind of		class						# Q 2460		e793-ed2a-e6fe-42bf	
a	maple tree	is a kind of		tree						#580		11f2-4ff8-e494-7018	
	marble	is a kind of		object; material								1d1c-a940-405e-dd50	
	Mars	is a kind of		planet						#2944		1fb6-af63-74de-86fd	
the	Mars Rover	is a kind of		vehicle						#3218		5f7e-b3fb-0d3f-bade	
a	marsh	is a kind of		body of water						# Q 1531		a142-f9f0-f59e-1786	
