[FILL] a/the	ADJ	THING	QUALIFIER1	[FILL] is/has	QUALIFIER2	MAGNITUDE	VALUE	ATTRIBUTE	SCOPE/RELATIVETO	[FILL] with values between	LOWERBOUND	[FILL] and	UPPERBOUND	UNITS	[FILL] for/to	PURPOSE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		Tay-Sachs disease		is 			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 47cf-461f-b0c4-8ac4	2019-a0f5-1a45-6bfe	
a	free	earlobe		is			a dominant	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW c06e-9d3b-bf9d-2602	19a7-7695-eb48-e409	
an	attached	earlobe		is			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 3a28-5f30-0b3a-31b6	ab91-d3e1-b56f-087d	
	black	fur		is			a dominant	trait	in mouse								MOVE TO PROP-DOMRECESS-TRAIT	SW d28d-b53a-922b-9e44	9bac-b9c0-4582-d454	
	brown	fur		is			a recessive	trait	in mouse								MOVE TO PROP-DOMRECESS-TRAIT	SW a717-a877-37e3-5e0f	37f8-54bf-7998-e15d	
	short			is			a recessive	trait	in plants								MOVE TO PROP-DOMRECESS-TRAIT	SW 02b9-e21c-7f84-9080	ec4c-6bcc-26b8-8735	
	tall			is 			a dominant	trait	in plants								MOVE TO PROP-DOMRECESS-TRAIT	SW 35d3-ef72-2871-4765	766d-2106-0109-831b	
	red	flower		is			a dominant	trait	in snapdragon plant								MOVE TO PROP-DOMRECESS-TRAIT	SW 765a-a03c-5124-ca3b	7be4-25b4-2559-ed15	
	white	flower		is			a recessive	trait	in snapdragon plant								MOVE TO PROP-DOMRECESS-TRAIT	SW 4198-a43f-ed87-8810	f848-a9e1-aeb1-465f	
	white	fur		is			a recessive	trait	in mouse								MOVE TO PROP-DOMRECESS-TRAIT	SW eeb3-9ad7-6803-4e0d	ed7c-dcac-bed2-2bf8	
	gray			is			a combination		of black and white										33ee-cd38-fb7f-73fc	
	black	fur		is			a dominant	trait	in guinea pig								MOVE TO PROP-DOMRECESS-TRAIT	SW 7a88-cff4-5a86-4681	3920-323c-f169-dcf1	
	white	fur		is			a recessive	trait	in guinea pig								MOVE TO PROP-DOMRECESS-TRAIT	SW b0f1-dcbf-644a-6d0a	e4e2-9529-e18c-5bfe	
	round	seed		is			a dominant	trait	in pea plants								MOVE TO PROP-DOMRECESS-TRAIT	SW e770-3465-b94e-440e	32c5-83b3-30e2-7b95	
	wrinkled	seed		is			a recessive	trait	in pea plants								MOVE TO PROP-DOMRECESS-TRAIT	SW 2137-adc4-4aae-d30a	eeae-cfbd-229a-da6a	
	V-shaped; widow's peak	hairline		is			a dominant	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW dbf5-9721-d4dd-5927	39c4-8515-2086-641d	
	straight	hairline		is 			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW f840-3ce6-a7de-2bf6	4a06-6df5-850d-41be	
	red	eyes		is			a dominant	trait	in fruit flies								MOVE TO PROP-DOMRECESS-TRAIT	SW 538a-2555-74e2-2ef9	3657-2640-0375-4e16	
	sepia	eyes		is			a recessive	trait	in fruit flies								MOVE TO PROP-DOMRECESS-TRAIT	SW d3a6-31e1-a66a-dc30	acfe-f312-5975-0862	
		sickle cell anemia		is			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 4da1-70bc-f8f8-b332	ce98-1581-8b99-3aea	
		paper		is	not		durable										move to PROP-MAT-DURABILITY	SW 69b1-ff46-2465-75a5	78e0-d638-bc6f-1485	
		plastic		is			durable										move to PROP-MAT-DURABILITY	SW b8ef-d2a1-52d4-6d8d	2bbb-17cd-b017-1ddb	
		steel		is			durable										move to PROP-MAT-DURABILITY	SW 08fd-59c0-b7ed-4f3b	924e-6023-c57c-fc2e	
		glass		is			durable										move to PROP-MAT-DURABILITY	SW f4d4-5c7f-c71d-bda7	6d2c-ab7f-9aab-851c	
	solid	water		is			less dense		than liquid water										77b1-84e2-1483-8b30	
		plastic		is	usually		translucent										move to PROP-MAT-OPACITY	SW d921-1cbf-cdfa-ef31	755c-6cc6-a759-e6a8	
a	cleft	chin		is			a dominant	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW fba0-90b0-c16e-0fbb	f7a4-ab01-7d35-360c	
a		chin without a cleft		is 			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 6cf5-d801-d99e-f77c	799d-e236-0c29-e6e4	
the		ability to roll the tongue		is			a dominant	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 4f50-17d9-79f2-3e9c	42d0-0a8f-00e9-a913	
the		inability to roll the tongue		is			a recessive	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 2735-18c2-0b25-ae34	30d1-5f34-c740-556e	
	frosted	glass		is			translucent										move to PROP-MAT-OPACITY	SW 2039-3567-5102-542e	0f87-87ed-e1c0-7a2f	
	clear	glass		is			transparent										move to PROP-MAT-OPACITY	SW 030c-ef6e-2f84-d561	57d9-f71a-0b54-7d7f	
		cardboard		is			opaque										move to PROP-MAT-OPACITY	SW fbc7-5562-2cfa-3802	713b-fc3b-02dc-50e9	
	different	containers	usually	are			different	in shape											ab12-89b8-f02b-6f3a	
		particles in a liquid		are			close		to each other										d625-c5b6-6059-b2e3	
		particles in a liquid		have			more	kinetic energy	than particles in a solid										261f-49cc-683a-a8e4	
	liquid	water		is			available 		for organisms										f00e-3ea5-9df1-76c2	
		particles in a gas		have			more	kinetic energy	than particles in a liquid										ca8b-bc08-0c42-61cb	
	different	substances		are			different	in density											c644-3cf2-66f8-5376	
		feathers		are			less dense		than iron								moved to COMPARISON	SW fab4-4b36-50d2-b97b	f2e1-ebc9-3e92-42d9	
		ice		is			colder		than water in temperature								moved to COMPARISON	SW 3b5c-1ef3-7358-a156	7452-6f05-2e80-f10f	
		water		is			colder		than steam in temperature								moved to COMPARISON	SW 85a6-050d-9582-c753	bf5f-731f-c1a8-0a2e	
an		apple		is			smooth		on the surface										f710-5310-0a9f-f45f	
		fur		is	usually		soft	in texture											0938-44a3-2b4b-a62c	
		clay		is	usually		opaque										PROP-MAT-OPACITY	SW b486-3a24-cbf5-bae0	71c5-3433-af24-191c	
		water		is	more		dense		than oil										624f-d668-7095-01d0	
		salt		is			soluble	in water									MOVE TO PROP-SOLUBILITY	SW 0468-dc98-b65d-073f	2626-a66d-296f-aaa7	
		sand		is			insoluble	in water									MOVE TO PROP-SOLUBILITY	SW e5bc-cb22-23ff-6d35	21fc-e84b-b44a-82d9	
		sawdust		is			insoluble	in water									MOVE TO PROP-SOLUBILITY	SW b23a-d49e-ad21-87b7	92d4-4a3e-0a57-8134	
		seashell		is			insoluble	in water									MOVE TO PROP-SOLUBILITY	SW 9812-9b45-db27-deb9	fa53-905a-0778-c9aa	
		fruit		is 	usually		a solid												8ede-b97f-4349-074f	
		oil		is 			insoluble	in water									MOVE TO PROP-SOLUBILITY	SW cc29-4aa2-bdde-b794	f760-27ef-aeb3-ab85	
		sand		is			denser		than water										a235-51c0-e383-120d	
		gravel particles		are			bigger	in size	than sand particles										3893-d44e-21e6-0b40	
		wood		is			buoyant										new table candidate		5f07-11e1-f352-8f01	
		metal		is			reflective										move to PROP-MAT-OPACITY	SW 7a5b-a89f-6e3e-879a	8201-a400-472b-0ec3	
		carbon dioxide		is			more dense		than air								move to COMPARISON	SW 4ebc-f5fc-b1d0-fe40	c4d7-04f9-8548-fecc	
		silicate		is			less dense		than iron								move to COMPARISON	SW a061-825f-356c-7835	41f6-8634-c957-cc74	
		silicate		is			less dense		than nickel								move to COMPARISON	SW e67a-eb1a-e950-1e0b	3a25-68cc-a553-f553	
		magnesium		is			less dense		than iron								move to COMPARISON	SW 1734-ce7f-d198-39d4	3d7f-734c-2fe3-1eaa	
		magnesium		is			less dense		than nickel								move to COMPARISON	SW 91b6-1828-99dd-54a7	a689-9252-90fd-6f75	
		continental crust		is			less dense		than mantle								move to COMPARISON	SW f81b-d0b5-49b2-79a2	bf79-c4ec-e029-7a67	
		sand		is			insoluble		in water								MOVE TO PROP-SOLUBILITY	SW 2bc2-3c3e-59ac-db3b	5a37-a55f-4bb5-97c3	
		rubber		is			durable										MOVE TO PROP-MAT-DURABILITY	SW 8724-30ab-6b86-8bd1	3cf4-89c9-4b1d-ade2	
the		heat; pressure		is			extreme; intense		deep below Earth's crust										4d0b-4f9f-5201-fff3	
	different	celestial body		has			different	gravity											199e-442e-e49b-7b5c	
an		apple		is			red	in color											15d9-e2c4-5c7d-c411	
an 		apple		is 			round	in shape											4a83-a5d2-2059-0195	
an 		apple		is 			hard												b278-9ae3-088d-0cc4	
		carbon; hydrogen; nitrogen; oxygen		are			the most common	elements	in organic compounds										b575-c6e9-ca7e-c8c1	
the 	chemical	symbol for copper		is			Cu										move to PROP-CHEM-ELEMSYMB	SW 2114-bca8-7660-d59d	0126-138a-d18e-6826	
the 		particles		are			different	in arrangement	in different substances										741b-fdd0-a51a-23fd	
the	chemical	symbol for antimony		is			Sb										move to PROP-CHEM-ELEMSYMB	SW ac3f-a48f-d1d9-e21a	ea03-2c4d-ce79-eb78	
the	chemical	symbol for tellurium		is			Te										move to PROP-CHEM-ELEMSYMB	SW 37ad-398f-f640-dc65	a83b-7ca1-fb3c-dd65	
		vinegar		is			acidic										move to PROP-CHEM-ACIDITY	SW 2355-5cb6-23c2-8a58	6f22-a5fb-1534-79ba	
		acid rain		is			acidic										move to PROP-CHEM-ACIDITY	SW 6872-ab9b-e656-ad37	f94e-c286-a17e-e701	
		elements in the same group on the Periodic Table of Elements		have			similar	properties											8424-e5dd-a2c7-77a3	
		alkaline earth metal elements		have			two	valence electrons											8117-b3de-0422-92dc	
		elements in the same group on the Periodic Table of Elements		have			similar	chemical properties										SW 2986-02f4-97e5-ba79 c3c8-dc48-5f87-b0c1	6b20-6d7a-96fb-6104	
		elements in the same group on the Periodic Table of Elements		have			similar	properties											2986-02f4-97e5-ba79	
		elements on the left side of the Periodic Table of Elements		are			solids		at room temperature										2bfe-94db-9958-642d	
		elements in group 18		have			full; complete	outer electron shells	on the Periodic Table of Elements										5434-afb0-0707-bade	
		oxygen ions	usually	have			a negative 2 charges										move to PROP-CHEM-CHARGE	SW 8f8b-9c0a-8f64-e23c	0f64-e288-def7-353e	
		elements in carbon family		have			four	valence electrons											f14c-405e-3789-dcd6	
		mercury		is			liquid		at room temperature										18b8-a895-6156-d9dc	
		noble gases elements; elements in group 18 on the periodic table	usually	are		the most	chemically unreactive										MOVETOCOMPARISON	SW 61ea-1dfb-63f2-ae5e 4689-f4b8-39d2-b74f	04a0-dc9c-cb8c-f3d9	
		nitrogen as an elemental gas		is		more	stable		than nitrogen compounds								MOVE TO COMPARISON	SW ba38-8be0-1133-f105	efee-1640-0e1b-5b3e	
the		periodic table		is			arranged	in rows and columns											56fd-5772-9a2a-1399	
the		alkali metals		have			one	valence electron											4af5-b04a-2f94-d861	
the 		property of something		is			the same		for the things of same kind										73b0-f9f5-f630-97a6	
the		majority of the elements on the periodic table		are			metals										91 out of 118		46bd-4faf-246c-c6b7	
		carbon		has			the property of	catenation								to form a carbon chain			f457-6be6-2383-4c64	
		elements in nitrogen family		have			five; 5	valence electrons											ec02-4233-0c33-ceca	
		elements in noble gases family		are			gases		at room temperature										03c9-c7da-d7bd-31b3	
the		moon's orbit		is			elliptical												aab2-df49-cb6f-dcbb	
the		sun		is			the strongest	source of gravity	in the solar system										b244-0786-b9b5-c70a	
		planetary orbits		are	mostly		elliptical												a2fc-541c-f662-8ef1	
		Mercury		is			closer	to the Sun	than Earth								move to COMPARISON		0c41-af41-3fb6-6308	
		Mercury		is			closer	to the Sun	than Mars								move to COMPARISON	SW d711-ca1e-0766-bd59	4e53-a7e9-3124-9f75	
		Mercury		is			closer	to the Sun	than Venus								move to COMPARISON	SW d711-ca1e-0766-bd59	6853-0cee-5d2a-cf40	
		comet orbits		are			elliptical												7f9d-9f7a-ef72-e0e9	
		Venus		has			moon-like phases												7aad-1652-9996-a1bf	
the	dark	half of the moon		is	not		visible												f33c-c31b-7f4d-400d	
		elements on the right side of the Periodic Table of Elements		are			gases		at room temperature										da35-861a-ed85-6fe6	
		atom		is			the basic	unit	of matter										ce52-e6ef-b8cb-a785	
		gases		are	usually		low	in density											f55f-502b-f47e-32c5	
		elements in oxygen family		have			six; 6	valence electrons											3408-53a4-d9de-1f86	
a		molecule		is the			smallest	particle; unit	that has the properties of a compound								comparison	SW f25a-54b9-3641-f7e4	5c74-6feb-16a4-2fd8	
the		motion of molecules		is			random												e37a-cbec-e7ca-d231	
		oxygen		is		more	common	than hydrogen	on Earth										71e5-5619-ec41-2b51	
an		air mass		has			similar	temperature and moisture	throughout it										e872-d4de-cffe-98ab	
	polar	regions		are			cold	in temperature											aa24-93b2-af8d-97e0	
the		air mass formed close to the ocean		is			humid	in moisture											b391-6eb4-f10a-c17e	
	cold 	air		is	usually		high	in air pressure											405b-0b9b-64b7-ee18	
	warm	air		is 	usually		low 	in air pressure											d54d-acd6-6e17-7d59	
the	cumulus	clouds		are	usually		white and fluffy												0614-b803-cac6-8555	
		Rossby wave		is			slow	in speed											0897-83e1-5aba-dc5f	
all		electromagnetic waves		have			the same	speed		with values of	300000 km/s								b318-a903-7500-0daf	
the		space		is			a vacuum		between the Sun and the Earth										e3bb-24f6-ffb3-cba0	
the		direction of back and forth		is			perpendicular		to the direction of right to left										2870-0285-f0dd-d587	
a		thunder		has			intense	sound energy											ff50-cb0f-64cc-7053	
		space		is			a vacuum												07a4-1529-398a-8630	
a		vacuum		has			no	matter	in it										80ca-8ae3-90b6-3e9b	
		Earth		has			air												d1b6-ccd1-514a-b7d9	
	different	substances	usually	have			different amount	of chemical energy											4301-d69c-52a8-22d7	
		fossil fuels		have			high	potential energy											111c-c368-487f-d364	
		heat energy		is			the least available		in food chains						for	reuse			1198-f1e5-bae3-b5bb	
		black		is			dark	in color											1138-b559-9aba-78e5	
		visible light		is			the smallest	in range	within the electromagnetic spectrum								comparison	SW 2586-fe98-8fef-83b1	dcf8-c945-9ce3-4c73	
		red light		has			the longest	wavelength											a7a3-2163-522d-b09f	
		violet light		has			the shortest	wavelength											8698-3be5-8ec0-5d98	
		ultraviolet light		has		very	short	wavelength											3e45-4bf0-21e2-c250	
		infrared light		has			a longer	wavelength	than visible light								MOVEDTO COMPARISON	SW 8834-4691-61ef-488a	bf51-7d2d-0ddb-770c	
the		range of visible light	approximately	is			less than 10%		in electromagnetic spectrum										b3ab-ae82-bcdf-1e59	
		electromagnetic wave		is	not		a mechanical wave										NEG		0d7c-31ed-4ab2-fea1	
		stars	generally	have			the same	chemical composition											7cec-d42c-3f57-38c1	
		hydrogen		is			the most common	element	in stars										58aa-95d3-7b7d-6039	
		main-sequence stars		are	generally		yellow	in color											c88f-1e14-3187-b5cc	
		red-dwarf stars		are			cooler		than yellow-dwaf stars										f090-776e-d9d5-e5c6	
	polished	metal		has			shiny	surface											52dd-6925-0dd5-c344	
	polar	regions		are			covered		with snow										7b49-d1d3-a402-c0e9	
		Venus		is			closer	to the sun	than Earth								MOVEDTO COMPARISON	SW e302-985d-b7ef-ad07	957f-c72c-c164-1afa	
		planets		have			climate												2c25-6319-5aee-aa2b	
the		equator		has			a consistant	number of daylight hours											20f3-7580-e057-ce54	
the		metal		is				the core	of electromagnet										b4bb-c6c6-582e-f158	
the		Sun		has			average	brightness	compared to other stars										a7f2-4b8b-fcff-3811	
the		Moon		is			closer	to the Earth	than the Sun								MOVEDTO COMPARISON	SW a988-da0d-6d1a-f0b4	cbb4-12c7-1491-f24b	
a		supernova		is			bright												ab0d-c808-f351-8323	
		troposphere		has			the greatest	density	among the layers in the atmosphere								MOVEDTO COMPARISON	SW b78d-056a-2211-754d 4cc5-cdc1-84ff-aee8	e83e-674a-64c3-091a	
		ocean trenches		are			the deepest	parts	of the ocean								MOVEDTO COMPARISON	SW 87fd-d4a7-46f2-3895	379d-393a-16aa-b66c	
		cardboard		is			biodegradable												9c2e-2bb5-f133-7cf1	
		cardboard		is			inexpensive	in cost											69f7-c3ad-fa4d-ce01	
the		climate		is			low	in humidity	in Nevada								prop-environmentattrib		4493-589b-f126-ea3e	
		Nevada		has			abundant sunshine										prop-environmentattrib		b3a8-1d25-2e10-aa8d	
		soil		is			permeable												0698-cbab-718a-6554	
		water vapor		is			the largest amount of	greenhouse gas	in the atmosphere										9d62-f0d6-f0a5-6846	
		Earth's atmosphere		has			different	layers											cbc0-61a2-ad48-5ce3	
		visible light		is			able to be seen		without using equipment								MOVE TO AFFORDANCE	SW 0ae6-adcf-1683-6eea	acce-1f31-1bcc-a714	
the		air		is			warm		around the equator										3b96-2f41-ec7f-1ed0	
the		water		is	only		in a solid or liquid	state of matter	at the South Pole										391d-a189-6a8f-ec12	
the	average	temperature in South Pole		is						between	-52.2	and	-45.8	Celsius 			refactor		9001-352c-41b7-084c	
the		water		is			in liquid or gas	state of matter	near the equator										f7a9-3087-100f-1e47	
the		freshwater		is			3	in percentagle	of total water on Earth										38b0-687f-f4e1-c35b	
		freshwater		is			non-salty												be76-e528-a0aa-9a9e	
	high	porosity materials		have			a lot of	empty spaces; pores											ffd2-9e67-99d2-d8f8	
the		pores		are			well connected		in high permeability materials										8374-967d-83d9-31b5	
		freshwater		is			drinkable												8064-2733-df23-ca25	
		moons		are			large; solid; spherical												9ad4-226c-5d97-86e1	
a		white dwarf		is			the last stage		in the life cycle of a star								PROCESSSTAGE-ORDER	SW 3eaa-4f59-c281-f64e	5cdb-e6db-f494-a5b4	
		blue stars		have			the hottest	in temperature											0537-626d-3ce6-54cb	
the	chemical	symbol for helium		is			He										move to PROP-CHEM-ELEMSYMB	SW 1555-4838-9975-ec1c	c04d-741d-16ea-6e15	
the 	chemical	symbol for neon		is			Ne										move to PROP-CHEM-ELEMSYMB	SW 590b-82cf-7af6-6f20	a84c-1864-7818-0112	
the 	chemical	symbol for argon		is			Ar										move to PROP-CHEM-ELEMSYMB	SW 5eb4-fe1a-9434-06db	573b-5717-e798-70d3	
the	chemical	symbol for iron		is			Fe										move to PROP-CHEM-ELEMSYMB	SW 37eb-3810-3df1-3a81	a57c-339c-2d58-a0be	
the 	chemical	symbol for oxygen		is			O										move to PROP-CHEM-ELEMSYMB	SW e240-092a-51ef-56d2	c814-d01c-360e-0218	
a		proton		has			a positive charge	of one									move to PROP-CHEM-CHARGE	SW 09fe-b28e-e458-a48a	fbfd-9bdb-a833-89c2	
a		neutron		has		no	charge										move to PROP-CHEM-CHARGE	SW d196-5c2b-df8e-1e48	9d43-0ea9-63b2-1ae7	
		electrons		have			the least	mass	in an atom								MOVEDTO COMPARISON	SW e9c0-8a88-2136-b69c	09f7-6766-7662-827e	
		neutrons		have			more	mass	than an electron								MOVEDTO COMPARISON	SW ef8f-2180-7214-e765	02a8-faaf-2109-e9ff	
the		nucleus		is				the core; center	of an atom										171d-70d1-ca26-1512	
		electron		is			the smallest	particle	in an atom								move to COMPARISON	SW 3936-ee86-4b71-d195	e95c-8c7f-0177-0e42	
an		atom		is	always		neutral charged										move to PROP-CHEM-CHARGE	SW 4d4a-bdfd-a6c7-1cbc	d1c1-cc3b-9a74-bf19	
one		neutron		has			one	atomic mass unit											454a-72bd-07d1-f851	
		static electricity		is			temporary												f25d-3275-04f4-91a2	
a		molecule		is	usually		neutral charged										move to PROP-CHEM-CHARGE		6f0c-a7a0-073a-1c44	
	same	element		has			same	atomic number											6379-50f9-1a3c-ff51	
		electrons		are			reactive		during chemical process								double check how to phrase it		68c1-5f2d-9e1c-4aad	
		protons		have			the same	magnitude of charge	as electrons										57bd-6118-c201-f252	
		three		is			more		than two								MOVETO COMPARISON	SW 9527-042a-ea04-012f	addb-fc95-97a8-e7ee	
		genes		are			microscopic	in size											4f16-b889-1ac5-6133	
		basalt		is			denser		than granite								MOVETO COMPARISON	SW 350a-57e1-551e-cfe5	2be9-40c7-02e2-74df	
the		melting point of rocks		is		very	high			with temperatures between	600 celcius	and	1300 celcius				move to PROP-STATESOFMATTER-TEMPS	SW c089-fcae-36e8-b507 172b-a60e-4da5-8fd5	539b-8f90-d7d4-1777	
	fertile	topsoil; soil		is			high	in organic matter level											b3cc-50aa-1151-1e69	
the	finest-grained 	soils		are			richest	in clay									comparison?		5e7f-6f8b-eacd-adf7	
	loamy	soil		is			the best		during plant growth						for 	water drainage			501b-0b6d-449d-76ba	
an		ocean		is			larger		than a river								MOVEDTO COMPARISON	SW fe73-be86-1f03-5794	d350-3b69-af54-09e9	
		ocean		is			the largest	body of water	on Earth								MOVEDTO COMPARISON	SW b796-7088-2b45-5543	7c33-32fb-8c9f-3a49	
the	southern	United States		has			a low	latitude									LOCATION	SW 22e1-bdd2-bf44-8b28	029b-2368-7582-97ed	
a		tornado		has			a rotating funnel-shaped	cloud									breakdown: tornado is made of funnel-shaped cloud. tornado is rotating.		c9c0-3d97-f8e7-ea33	
a		tornado		is			narrow 	in width											c994-8e4f-f336-8365	
		water temperature		is			necessary for hurricane formation										REQUIRE	SW cb47-1534-f13a-7f91 5830-0226-d5ec-1248	0afa-4dd2-af3e-18cf	
		March		is			cold	in temperature	in northern hemisphere										4c21-085d-2569-11d6	
the		air over land		is		less	warm; moist		than the air over ocean								MOVEDTO COMPARISON	SW 1c46-75fe-983f-4d60	f482-ad1b-10a9-3853	
the		Great Basin National Park		has			piles of rocky debris												35ce-177f-f20d-00f9	
the		amount of sunlight	usually	is			the same		at the locations with same latitude										84e9-d492-aaeb-119f	
		quartz		is			various	in colors	naturally										a604-1aaf-c223-a1b2	
the		pressure		is			intense		deep below the crust								backwards? (pressure is the attribute?)	SW 4d0b-4f9f-5201-fff3	8e2d-0922-fcbf-d554	
the		mineral mica		is			smooth	in cleavage pattern											3746-92aa-aedd-a8a2	
		minerals		have			different 	recognizable properties											bfe7-a704-7ffd-9489	
		olivine		is			the first	to form and crystallize	in the region of highest temperature and pressure								breakdown		95a2-d506-0a5f-2612	
		hematite		has			a red; rusty	streak											1a73-b706-89c0-1923	
		structural geologists		are			interested	in discovering the history and processes of Earth									new table potential		7dcf-3f69-b15c-82ac	
		paleontologists		are			interested	in discovering the history and processes of Earth									new table potential		0621-b665-2c16-1613	
		magma		is		extremely	high 	in temperature											bc99-ea92-b727-6c2f	
		metamorphic rock		is			harder		than sedimentary rock										d0c4-3b27-174f-80f4	
		rocks in the same class		has			the same	chemical composition											b407-48dd-337e-3386	
		basalt		is			black	in color											4792-1249-dcdc-8974	
the		deep rock layers of Earth	generally	are			older		than the shallow rock layers										eba3-66df-ea00-ebce	
		Earth's layers from center to surface		are			inner core, outer core, asthenosphere, lithosphere 										move to SEQ-SPATIAL	SW 88f0-e3a5-8c35-8e20	31f4-dcb0-b6b9-2d0b	
the		inner core of Earth		is			solid												b68c-2c6b-29dc-9998	
the		crust		is			the thinnest	layer	of Earth								moved to COMPARISON	SW d069-01b5-1857-1e9e	bf15-526a-bc6e-7b62	
the		crust		is			divided		into tectonic plates										3938-fa99-441a-114e	
		organisms with bright color		are	usually		poisonous												df0b-946e-91df-fd8c	
		gas		has			a lower	melting point	than liquid								moved to COMPARISON	SW 9262-950a-15c4-21e8	4c65-5034-3cda-3150	
		liquid		has			a lower	melting point	than solid 								moved to COMPARISON	SW 8acd-cc48-2a22-3e00	4802-a948-2a98-4dd0	
		Phobos		is		one of 	the moons		orbiting Mars								moved to ACTION	SW 43dd-df8a-c133-a741 9204-e312-1986-baf9	f3ef-4cd7-fec8-945f	
		the climate		is			high	in humidity	in California								move to PROP-ENVIRONMENT-ATTRIBUTE when the table is more general		7f16-ff51-fa37-ef72	
	sandy	soil		is 			gritty	in texture											5674-7f01-075a-a0c2	
		soil with high percentage of clay		is			smooth	in texture											6e25-87ba-ebe7-b432	
		white		is			light	in color											a720-b74f-a817-0f4f	
	red giant	stars 		are			bigger	in volume	than main sequence stars								move to COMPARISON	SW abd0-0bef-48f6-1764	2365-dc84-2078-cec5	
	red giant	stars		are			cooler	in temperature	than main sequence stars								move to COMPARISON	SW e31c-548b-06b7-3674	6d8b-4921-2f90-3495	
the	deep ocean	water		is			rich	in nutrients											c64c-b2a8-8dbf-e1dd	
the 	deep ocean	water		has			carbon dioxide		dissolved in it								MOVETO CONTAINS	SW ca1b-a3bb-54b0-fe87	d41e-036c-177f-31ac	
		chlorine		is			green	in color											5acc-7743-64a6-43cd	
		chlorine		is			poisonous												50b7-0800-bacc-cba3	
		substances		have				chemical properties											d4a5-b86b-d960-183f	
		volvox		is			a bi-flagellate	autotroph											ad5a-6138-06c3-b5ed	
